states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
010100,842.0,1024.0,83.0,1024.0,1024.0,816.0,1024.0,1024.0,1024.0,1024.0,54.0,1024.0,1024.0,189.0,841.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,833.0,83.0,295.0,1024.0,1024.0,1024.0,1024.0,1024.0,111.0,137.0,1024.0,66.0,1024.0,1024.0,1024.0,1024.0,87.0,1024.0,1024.0,1024.0,1024.0,1024.0,202.0,1024.0,1024.0,95.0,136.0,1024.0
100000,142.0,,932.0,,,159.0,,,,,966.0,,,828.0,125.0,,,,,,,,135.0,933.0,664.0,,,,,,893.0,874.0,,954.0,,,,,930.0,,,,,,811.0,,,919.0,873.0,
001100,12.0,,,,,11.0,,,,,,,,,21.0,,,,,,,,25.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,3.0,
000010,10.0,,,,,11.0,,,,,,,,,11.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
001101,7.0,,1.0,,,7.0,,,,,2.0,,,2.0,7.0,,,,,,,,9.0,2.0,44.0,,,,,,16.0,,,1.0,,,,,3.0,,,,,,3.0,,,10.0,8.0,
000101,4.0,,2.0,,,9.0,,,,,,,,2.0,9.0,,,,,,,,7.0,3.0,10.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
000100,3.0,,,,,8.0,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
001001,2.0,,,,,1.0,,,,,,,,1.0,3.0,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
001000,1.0,,,,,2.0,,,,,1.0,,,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
010000,1.0,,4.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,8.0,,,,,,3.0,3.0,,1.0,,,,,3.0,,,,,,2.0,,,,4.0,
000001,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
