states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101110,776.0,1024.0,49.0,199.0,154.0,1024.0,546.0,1.0,1024.0,1024.0,114.0,1024.0,1024.0,788.0,1024.0,1024.0,123.0,202.0,1004.0,54.0,23.0,1024.0,10.0,1024.0,1024.0,1019.0,1024.0,1024.0,1024.0,7.0,1024.0,1024.0,1014.0,63.0,1024.0,1024.0,1024.0,177.0,1024.0,1024.0,1015.0,163.0,1024.0,4.0,1024.0,125.0,1024.0,1024.0,1024.0,592.0
100011,96.0,,7.0,601.0,839.0,,,96.0,,,400.0,,,90.0,,,391.0,592.0,18.0,352.0,53.0,,2.0,,,5.0,,,,,,,9.0,24.0,,,,18.0,,,9.0,831.0,,24.0,,412.0,,,,8.0
101000,30.0,,6.0,,1.0,,2.0,,,,3.0,,,27.0,,,3.0,,,44.0,2.0,,1.0,,,,,,,1.0,,,,10.0,,,,36.0,,,,,,7.0,,1.0,,,,5.0
100100,29.0,,10.0,1.0,,,1.0,,,,,,,40.0,,,2.0,1.0,,19.0,5.0,,,,,,,,,5.0,,,,6.0,,,,12.0,,,,2.0,,3.0,,1.0,,,,3.0
001110,23.0,,158.0,13.0,10.0,,143.0,2.0,,,43.0,,,31.0,,,29.0,10.0,,21.0,50.0,,,,,,,,,2.0,,,,134.0,,,,8.0,,,,6.0,,28.0,,21.0,,,,133.0
010000,17.0,,679.0,88.0,6.0,,225.0,3.0,,,177.0,,,9.0,,,178.0,87.0,,30.0,92.0,,771.0,,,,,,,936.0,,,,660.0,,,,13.0,,,,5.0,,781.0,,155.0,,,,140.0
101010,12.0,,27.0,,1.0,,,129.0,,,59.0,,,1.0,,,58.0,8.0,,81.0,37.0,,8.0,,,,,,,1.0,,,,25.0,,,,87.0,,,,4.0,,30.0,,63.0,,,,25.0
001010,8.0,,2.0,4.0,,,1.0,,,,8.0,,,,,,16.0,2.0,,17.0,3.0,,1.0,,,,,,,7.0,,,,1.0,,,,4.0,,,,,,8.0,,19.0,,,,3.0
000110,6.0,,5.0,4.0,,,3.0,,,,20.0,,,6.0,,,13.0,2.0,,25.0,,,4.0,,,,,,,9.0,,,,5.0,,,,6.0,,,,1.0,,5.0,,22.0,,,,10.0
100000,6.0,,1.0,,,,,,,,2.0,,,12.0,,,2.0,,,17.0,4.0,,44.0,,,,,,,4.0,,,,,,,,4.0,,,,,,8.0,,2.0,,,,1.0
000011,5.0,,4.0,99.0,,,1.0,7.0,,,66.0,,,3.0,,,81.0,106.0,,116.0,66.0,,64.0,,,,,,,5.0,,,,10.0,,,,3.0,,,,1.0,,,,84.0,,,,1.0
100110,5.0,,28.0,4.0,1.0,,,103.0,,,70.0,,,,,,66.0,2.0,,121.0,25.0,,2.0,,,,,,,,,,,24.0,,,,76.0,,,,2.0,,35.0,,56.0,,,,5.0
000001,3.0,,8.0,,,,,1.0,,,3.0,,,3.0,,,6.0,1.0,,12.0,236.0,,,,,,,,,24.0,,,,14.0,,,,30.0,,,,,,3.0,,4.0,,,,
001100,2.0,,,,,,9.0,5.0,,,,,,1.0,,,,,,9.0,37.0,,23.0,,,,,,,1.0,,,,1.0,,,,14.0,,,,,,9.0,,,,,,7.0
000100,2.0,,,1.0,6.0,,,3.0,,,,,,2.0,,,,4.0,,12.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,5.0,,11.0,,,,,,
101100,2.0,,11.0,1.0,,,84.0,80.0,,,3.0,,,5.0,,,4.0,,,18.0,7.0,,2.0,,,,,,,8.0,,,,14.0,,,,274.0,,,,1.0,,14.0,,,,,,35.0
000010,1.0,,6.0,1.0,1.0,,4.0,,,,2.0,,,3.0,,,1.0,,,11.0,13.0,,6.0,,,,,,,5.0,,,,8.0,,,,,,,,,,4.0,,1.0,,,,4.0
000000,1.0,,12.0,1.0,,,,1.0,,,1.0,,,1.0,,,,2.0,,,21.0,,30.0,,,,,,,5.0,,,,7.0,,,,,,,,,,3.0,,1.0,,,,1.0
100001,,,6.0,,1.0,,,553.0,,,36.0,,,,,,34.0,,,13.0,340.0,,47.0,,,,,,,3.0,,,,7.0,,,,261.0,,,,1.0,,42.0,,34.0,,,,1.0
100010,,,5.0,,,,5.0,39.0,,,17.0,,,1.0,,,17.0,,2.0,43.0,6.0,,2.0,,,,,,,,,,1.0,11.0,,,,1.0,,,,,,,,23.0,,,,50.0
001000,,,,7.0,4.0,,,1.0,,,,,,1.0,,,,5.0,,9.0,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,2.0,,5.0,,,,,,
