states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
100000,1024.0,9.0,1024.0,1024.0,1024.0,1024.0,1024.0,448.0,1024.0,1024.0,265.0,384.0,1024.0,1024.0,29.0,1024.0,1024.0,1024.0,1024.0,377.0,1024.0,1024.0,1024.0,34.0,396.0,453.0,1024.0,146.0,1024.0,223.0,1024.0,138.0,17.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,214.0,1024.0,1024.0,1024.0,1024.0,40.0
010011,,736.0,,,,,,319.0,,,531.0,363.0,,,975.0,,,,,347.0,,,,455.0,361.0,315.0,,484.0,,540.0,,500.0,755.0,,,,,,,,,,,,647.0,,,,,427.0
001001,,148.0,,,,,,111.0,,,104.0,137.0,,,7.0,,,,,142.0,,,,424.0,121.0,99.0,,210.0,,136.0,,229.0,148.0,,,,,,,,,,,,1.0,,,,,441.0
000100,,78.0,,,,,,96.0,,,23.0,38.0,,,1.0,,,,,54.0,,,,42.0,62.0,106.0,,28.0,,25.0,,15.0,67.0,,,,,,,,,,,,63.0,,,,,44.0
000010,,22.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,2.0,,2.0,,41.0,,,,36.0,16.0,,,,,,,,,,,,1.0,,,,,5.0
001000,,10.0,,,,,,,,,7.0,16.0,,,1.0,,,,,8.0,,,,4.0,8.0,1.0,,,,4.0,,,3.0,,,,,,,,,,,,1.0,,,,,1.0
000001,,8.0,,,,,,,,,18.0,22.0,,,,,,,,21.0,,,,24.0,16.0,,,10.0,,11.0,,4.0,9.0,,,,,,,,,,,,2.0,,,,,28.0
000011,,7.0,,,,,,1.0,,,29.0,21.0,,,1.0,,,,,24.0,,,,26.0,25.0,3.0,,79.0,,44.0,,73.0,,,,,,,,,,,,,31.0,,,,,23.0
010000,,2.0,,,,,,5.0,,,11.0,14.0,,,,,,,,16.0,,,,5.0,11.0,1.0,,,,9.0,,,2.0,,,,,,,,,,,,2.0,,,,,11.0
010001,,2.0,,,,,,22.0,,,27.0,10.0,,,8.0,,,,,13.0,,,,,7.0,14.0,,4.0,,19.0,,2.0,2.0,,,,,,,,,,,,62.0,,,,,
010010,,2.0,,,,,,13.0,,,9.0,19.0,,,,,,,,22.0,,,,8.0,16.0,24.0,,22.0,,13.0,,26.0,5.0,,,,,,,,,,,,,,,,,3.0
000000,,,,,,,,8.0,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
