states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110001,879.0,98.0,3.0,52.0,3.0,61.0,508.0,1024.0,4.0,,1024.0,3.0,1.0,21.0,27.0,742.0,3.0,447.0,25.0,1024.0,51.0,97.0,1024.0,221.0,1024.0,1024.0,1024.0,506.0,29.0,2.0,,10.0,14.0,1024.0,,5.0,52.0,,1024.0,924.0,33.0,1.0,473.0,243.0,268,706.0,484.0,1.0,114.0,1024.0
001001,118.0,285.0,964.0,924.0,979.0,922.0,421.0,,69.0,66.0,,103.0,69.0,,951.0,222.0,2.0,468.0,980.0,,936.0,282.0,,701.0,,,,10.0,955.0,594.0,58.0,134.0,311.0,,,972.0,264.0,,,80.0,933.0,1001.0,448.0,689.0,674,263.0,428.0,60.0,253.0,
000100,11.0,613.0,1.0,13.0,21.0,12.0,14.0,,882.0,887.0,,873.0,872.0,97.0,11.0,27.0,930.0,29.0,6.0,,12.0,619.0,,8.0,,,,22.0,9.0,255.0,907.0,793.0,644.0,,,,658.0,,,16.0,15.0,3.0,15.0,6.0,1,32.0,15.0,907.0,632.0,
010001,5.0,1.0,4.0,,1.0,,19.0,,,4.0,,,,3.0,7.0,,9.0,25.0,,,,,,11.0,,,,,9.0,4.0,,,1.0,,,2.0,2.0,,,,9.0,1.0,18.0,18.0,14,2.0,20.0,1.0,1.0,
110000,4.0,,,,2.0,,6.0,,,,,,,2.0,,2.0,7.0,9.0,,,,,,5.0,,,,,1.0,15.0,,2.0,1.0,,,,1.0,,,,1.0,,12.0,2.0,4,2.0,14.0,,,
100000,3.0,,5.0,7.0,,4.0,4.0,,,,,,,1.0,,,7.0,3.0,1.0,,6.0,1.0,,2.0,,,,,,5.0,,,,,,13.0,2.0,,,2.0,,,1.0,,1,1.0,1.0,,,
010000,2.0,,7.0,4.0,,5.0,5.0,,,,,,,,1.0,1.0,11.0,,,,6.0,,,,,,,,,5.0,,,,,,6.0,,,,,1.0,1.0,1.0,1.0,1,3.0,,,,
100001,2.0,1.0,7.0,,,,14.0,,1.0,,,2.0,1.0,6.0,7.0,2.0,7.0,19.0,4.0,,1.0,1.0,,17.0,,,,,9.0,1.0,,,3.0,,,2.0,2.0,,,,16.0,3.0,16.0,9.0,17,1.0,27.0,,,
001000,,23.0,,2.0,,,17.0,,10.0,3.0,,7.0,6.0,10.0,4.0,4.0,,19.0,,,3.0,18.0,,20.0,,,,,3.0,16.0,3.0,16.0,7.0,,,1.0,35.0,,,1.0,5.0,3.0,21.0,19.0,15,4.0,18.0,3.0,20.0,
000000,,2.0,6.0,4.0,1.0,6.0,,,,,,,,1.0,,14.0,23.0,1.0,,,1.0,4.0,,,,,,,,14.0,,,,,,,2.0,,,,,,1.0,,2,8.0,1.0,,1.0,
000001,,1.0,2.0,12.0,2.0,11.0,1.0,,3.0,7.0,,,8.0,1.0,16.0,,11.0,1.0,8.0,,5.0,2.0,,,,,,,9.0,,3.0,,36.0,,,4.0,,,,,11.0,5.0,,,4,,1.0,2.0,3.0,
000010,,,25.0,6.0,15.0,3.0,15.0,,55.0,57.0,,36.0,67.0,882.0,,10.0,14.0,3.0,,,3.0,,,39.0,,,,486.0,,113.0,53.0,69.0,7.0,,1024.0,19.0,6.0,1024.0,,1.0,,6.0,18.0,37.0,23,2.0,15.0,50.0,,
