states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000101,573.0,,651,222,114.0,322.0,170,574.0,90,681.0,558,352.0,346.0,97.0,2.0,593.0,3.0,363.0,,74.0,257,355.0,1.0,,323.0,258.0,408.0,329.0,48.0,3.0,183.0,107.0,315.0,98.0,8.0,366,380.0,668.0,227.0,190,96.0,654.0,11.0,345.0,90.0,84.0,9.0,79.0,218.0,221
000100,177.0,,14,427,213.0,76.0,391,202.0,36,24.0,81,85.0,96.0,831.0,617.0,177.0,334.0,78.0,,538.0,350,105.0,275.0,332.0,345.0,403.0,67.0,355.0,925.0,187.0,3.0,451.0,78.0,824.0,325.0,97,81.0,15.0,413.0,5,435.0,25.0,633.0,110.0,508.0,490.0,646.0,577.0,392.0,385
010010,94.0,,8,2,67.0,90.0,174,71.0,47,10.0,13,39.0,36.0,,33.0,96.0,28.0,24.0,,17.0,5,41.0,24.0,32.0,4.0,38.0,23.0,3.0,2.0,8.0,7.0,14.0,76.0,,118.0,36,40.0,12.0,,6,20.0,10.0,62.0,26.0,30.0,27.0,50.0,27.0,,4
000011,65.0,,6,5,5.0,5.0,21,52.0,26,4.0,56,12.0,3.0,4.0,79.0,54.0,25.0,12.0,,,41,2.0,10.0,23.0,43.0,3.0,4.0,37.0,,30.0,,,2.0,3.0,13.0,2,,14.0,1.0,1,,17.0,41.0,4.0,,,38.0,,4.0,3
000001,31.0,,2,1,,4.0,13,31.0,4,,3,,13.0,10.0,1.0,16.0,7.0,2.0,,5.0,40,4.0,12.0,5.0,47.0,2.0,2.0,37.0,6.0,4.0,1.0,8.0,2.0,6.0,70.0,10,12.0,,2.0,3,13.0,,,16.0,7.0,23.0,,1.0,2.0,1
100000,31.0,,5,33,,33.0,61,34.0,31,4.0,99,,,,57.0,38.0,,,,16.0,77,1.0,,1.0,77.0,44.0,,75.0,2.0,,4.0,24.0,51.0,,3.0,1,,4.0,26.0,5,31.0,2.0,98.0,,18.0,18.0,70.0,41.0,32.0,30
100001,27.0,,24,3,9.0,29.0,26,32.0,166,22.0,3,13.0,17.0,2.0,,33.0,8.0,13.0,,2.0,20,9.0,,11.0,17.0,46.0,10.0,10.0,,2.0,8.0,2.0,23.0,3.0,29.0,14,6.0,22.0,1.0,17,,23.0,5.0,16.0,4.0,1.0,3.0,41.0,3.0,1
011000,14.0,,9,13,5.0,238.0,3,9.0,58,7.0,38,,1.0,,28.0,8.0,2.0,,,292.0,26,,,4.0,19.0,30.0,1.0,17.0,,13.0,22.0,217.0,244.0,,,3,7.0,5.0,9.0,13,213.0,11.0,14.0,,274.0,296.0,13.0,35.0,17.0,22
000000,6.0,,27,3,53.0,16.0,25,8.0,9,29.0,3,12.0,8.0,23.0,29.0,3.0,31.0,10.0,,2.0,10,24.0,28.0,32.0,4.0,,15.0,5.0,6.0,6.0,2.0,5.0,6.0,24.0,7.0,1,15.0,19.0,5.0,4,11.0,23.0,5.0,11.0,3.0,,3.0,1.0,5.0,1
010000,4.0,,6,56,26.0,,23,10.0,3,4.0,13,1.0,2.0,12.0,23.0,2.0,4.0,,,,44,1.0,4.0,3.0,30.0,71.0,,45.0,9.0,5.0,5.0,,,13.0,4.0,1,8.0,6.0,75.0,1,1.0,1.0,7.0,6.0,,,13.0,15.0,69.0,88
001000,1.0,,140,32,21.0,18.0,4,,24,131.0,6,11.0,28.0,1.0,101.0,2.0,4.0,10.0,,3.0,31,7.0,6.0,8.0,32.0,62.0,7.0,24.0,3.0,,7.0,30.0,15.0,,4.0,26,26.0,143.0,28.0,5,43.0,140.0,105.0,22.0,8.0,15.0,131.0,107.0,34.0,31
110000,1.0,,9,13,19.0,11.0,35,,309,4.0,20,34.0,8.0,3.0,19.0,,,46.0,,57.0,2,46.0,2.0,,,59.0,30.0,,6.0,,44.0,117.0,22.0,7.0,7.0,9,25.0,8.0,15.0,52,110.0,5.0,2.0,6.0,68.0,59.0,4.0,6.0,17.0,15
001010,,1024.0,92,112,259.0,,45,,76,90.0,114,223.0,273.0,,2.0,,400.0,240.0,1024.0,4.0,96,206.0,628.0,405.0,73.0,2.0,235.0,75.0,,660.0,375.0,1.0,,,222.0,261,199.0,87.0,130.0,330,,82.0,3.0,273.0,2.0,3.0,4.0,67.0,135.0,130
000010,,,24,4,31.0,97.0,5,1.0,1,12.0,13,51.0,65.0,41.0,19.0,2.0,2.0,56.0,,1.0,19,43.0,11.0,2.0,10.0,1.0,46.0,12.0,13.0,26.0,9.0,9.0,109.0,46.0,16.0,62,59.0,15.0,3.0,10,9.0,24.0,1.0,64.0,,,1.0,3.0,,2
011010,,,7,98,202.0,85.0,28,,144,2.0,4,191.0,128.0,,14.0,,176.0,170.0,,13.0,6,180.0,23.0,166.0,,5.0,176.0,,4.0,80.0,354.0,39.0,81.0,,198.0,135,166.0,6.0,89.0,382,42.0,7.0,37.0,125.0,12.0,8.0,39.0,24.0,96.0,90
