states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101000,331.0,92.0,,,,,,,,,,,,,,52.0,,,,,83,,,38,32.0,5.0,,,,74.0,,,,,,,24,,,53.0,9.0,,12.0,,,,,,,1.0
001111,291.0,267.0,,,,,,,,,,,,,,342.0,,,,,330,,,414,405.0,603.0,,,,301.0,,,,,,,185,,,45.0,646.0,,318.0,,,,,,,522.0
001110,143.0,59.0,,,,,,,,,,,,,,101.0,,,,,158,,,254,113.0,9.0,,,,96.0,,,,,,,24,,,14.0,105.0,,18.0,,,,,,,31.0
010000,118.0,5.0,,,,,,,,,,,,,,59.0,,,,,121,,,9,15.0,24.0,,,,28.0,,,,,,,68,,,86.0,56.0,,33.0,,,,,,,59.0
101001,50.0,381.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,206.0,1024.0,1024.0,1024.0,1024.0,131,1024.0,1024.0,32,65.0,288.0,1024.0,1024.0,1024.0,232.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,633,1024.0,1024.0,742.0,,1024.0,588.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,14.0
001100,16.0,11.0,,,,,,,,,,,,,,38.0,,,,,25,,,22,38.0,3.0,,,,46.0,,,,,,,5,,,3.0,47.0,,1.0,,,,,,,23.0
001001,15.0,1.0,,,,,,,,,,,,,,24.0,,,,,6,,,1,11.0,18.0,,,,15.0,,,,,,,6,,,5.0,30.0,,25.0,,,,,,,45.0
000111,15.0,15.0,,,,,,,,,,,,,,23.0,,,,,1,,,9,12.0,7.0,,,,26.0,,,,,,,4,,,2.0,,,,,,,,,,20.0
001000,14.0,5.0,,,,,,,,,,,,,,10.0,,,,,2,,,104,2.0,5.0,,,,1.0,,,,,,,3,,,3.0,1.0,,7.0,,,,,,,2.0
001010,12.0,11.0,,,,,,,,,,,,,,38.0,,,,,33,,,27,53.0,,,,,37.0,,,,,,,8,,,3.0,35.0,,1.0,,,,,,,14.0
100001,6.0,2.0,,,,,,,,,,,,,,,,,,,9,,,12,,6.0,,,,5.0,,,,,,,3,,,1.0,1.0,,2.0,,,,,,,7.0
000011,4.0,,,,,,,,,,,,,,,,,,,,6,,,2,2.0,13.0,,,,,,,,,,,3,,,2.0,6.0,,1.0,,,,,,,
100000,3.0,1.0,,,,,,,,,,,,,,2.0,,,,,1,,,5,3.0,,,,,,,,,,,,7,,,2.0,6.0,,1.0,,,,,,,3.0
000101,2.0,1.0,,,,,,,,,,,,,,4.0,,,,,7,,,2,1.0,7.0,,,,1.0,,,,,,,2,,,1.0,8.0,,,,,,,,,
001011,1.0,80.0,,,,,,,,,,,,,,65.0,,,,,43,,,41,132.0,16.0,,,,82.0,,,,,,,19,,,14.0,38.0,,4.0,,,,,,,147.0
000100,1.0,3.0,,,,,,,,,,,,,,,,,,,4,,,4,3.0,,,,,1.0,,,,,,,2,,,1.0,2.0,,1.0,,,,,,,2.0
001101,1.0,81.0,,,,,,,,,,,,,,57.0,,,,,34,,,30,126.0,10.0,,,,78.0,,,,,,,18,,,26.0,25.0,,3.0,,,,,,,127.0
000110,1.0,4.0,,,,,,,,,,,,,,,,,,,16,,,8,4.0,,,,,,,,,,,,5,,,6.0,5.0,,6.0,,,,,,,1.0
000010,,2.0,,,,,,,,,,,,,,2.0,,,,,2,,,6,3.0,,,,,1.0,,,,,,,3,,,2.0,,,1.0,,,,,,,1.0
000000,,2.0,,,,,,,,,,,,,,1.0,,,,,1,,,3,3.0,,,,,,,,,,,,1,,,,3.0,,2.0,,,,,,,5.0
000001,,1.0,,,,,,,,,,,,,,,,,,,11,,,1,1.0,10.0,,,,,,,,,,,1,,,13.0,1.0,,,,,,,,,
