states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101010,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,593.0,1024.0,119.0,325.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,748.0,130,379.0,593.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,254.0,1024.0,382.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,114.0,1024.0,169.0,154.0,1024.0
001111,,,,,,,251.0,,850.0,294.0,,,,,,,116.0,719,46.0,276.0,,,,,,,,,,,,704.0,,592.0,,,,,,,,,,,,691.0,,689.0,708.0,
010000,,,,,,,96.0,,24.0,18.0,,,,,,,14.0,9,68.0,90.0,,,,,,,,,,,,30.0,,5.0,,,,,,,,,,,,15.0,,10.0,16.0,
101000,,,,,,,27.0,,6.0,66.0,,,,,,,2.0,31,222.0,19.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,58.0,,24.0,27.0,
001101,,,,,,,13.0,,1.0,33.0,,,,,,,8.0,13,112.0,19.0,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,3.0,,6.0,6.0,
000101,,,,,,,10.0,,2.0,4.0,,,,,,,1.0,3,14.0,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,17.0,,3.0,7.0,
100010,,,,,,,8.0,,3.0,7.0,,,,,,,,38,1.0,5.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,61.0,,49.0,41.0,
001010,,,,,,,5.0,,1.0,1.0,,,,,,,2.0,26,11.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,16.0,,23.0,11.0,
001011,,,,,,,4.0,,7.0,141.0,,,,,,,59.0,9,31.0,4.0,,,,,,,,,,,,10.0,,8.0,,,,,,,,,,,,7.0,,10.0,11.0,
000010,,,,,,,4.0,,,1.0,,,,,,,,3,7.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,
001000,,,,,,,3.0,,1.0,1.0,,,,,,,7.0,1,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
000011,,,,,,,2.0,,,16.0,,,,,,,2.0,8,4.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,10.0,,5.0,10.0,
001001,,,,,,,2.0,,,26.0,,,,,,,1.0,3,54.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,8.0,,4.0,5.0,
100000,,,,,,,2.0,,1.0,2.0,,,,,,,11.0,1,29.0,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,2.0,
000100,,,,,,,2.0,,,,,,,,,,2.0,2,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,3.0,
000111,,,,,,,1.0,,2.0,4.0,,,,,,,7.0,6,21.0,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,4.0,10.0,
000110,,,,,,,1.0,,1.0,8.0,,,,,,,1.0,4,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,7.0,,6.0,5.0,
001110,,,,,,,,,3.0,53.0,,,,,,,40.0,12,8.0,,,,,,,,,,,,,8.0,,5.0,,,,,,,,,,,,4.0,,9.0,2.0,
001100,,,,,,,,,2.0,21.0,,,,,,,3.0,4,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,8.0,3.0,
000001,,,,,,,,,1.0,2.0,,,,,,,,1,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,
000000,,,,,,,,,,1.0,,,,,,,,1,2.0,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,1.0,,1.0,,
