states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
010011,1024.0,1024.0,448,1024.0,1024.0,1024.0,298.0,1024.0,1024.0,1024.0,1024.0,1024.0,292.0,1024.0,371.0,1024.0,1024.0,1024.0,275.0,1024.0,592.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,793.0,1024.0,1024.0,1024.0,177.0,1024.0,1024.0,294.0,3.0,1024.0,486,1024.0,1024.0,1024.0,1024.0,70.0,1024.0,241.0,623.0,238,1024.0,1024.0,1024.0
100000,,,252,,,,615.0,,,,,,420.0,,600.0,,,,643.0,,162.0,,,,,,,159.0,,,,669.0,,,632.0,105.0,,156,,,,,668.0,,554.0,164.0,98,,,
001001,,,174,,,,37.0,,,,,,175.0,,7.0,,,,45.0,,102.0,,,,,,,14.0,,,,94.0,,,,461.0,,191,,,,,134.0,,116.0,116.0,527,,,
010001,,,39,,,,28.0,,,,,,20.0,,2.0,,,,17.0,,9.0,,,,,,,3.0,,,,8.0,,,11.0,62.0,,37,,,,,51.0,,50.0,36.0,44,,,
000100,,,38,,,,2.0,,,,,,91.0,,5.0,,,,5.0,,83.0,,,,,,,28.0,,,,41.0,,,55.0,311.0,,88,,,,,52.0,,20.0,49.0,2,,,
000011,,,31,,,,6.0,,,,,,3.0,,7.0,,,,2.0,,35.0,,,,,,,7.0,,,,3.0,,,1.0,13.0,,41,,,,,16.0,,,26.0,47,,,
000010,,,15,,,,1.0,,,,,,12.0,,5.0,,,,1.0,,7.0,,,,,,,,,,,,,,,13.0,,1,,,,,8.0,,14.0,,6,,,
000001,,,11,,,,15.0,,,,,,1.0,,1.0,,,,16.0,,,,,,,,,4.0,,,,22.0,,,8.0,28.0,,2,,,,,9.0,,9.0,5.0,3,,,
001000,,,6,,,,12.0,,,,,,3.0,,3.0,,,,11.0,,1.0,,,,,,,,,,,4.0,,,7.0,4.0,,3,,,,,12.0,,6.0,1.0,14,,,
010010,,,6,,,,8.0,,,,,,5.0,,18.0,,,,6.0,,23.0,,,,,,,2.0,,,,5.0,,,14.0,2.0,,13,,,,,,,8.0,2.0,20,,,
000000,,,2,,,,2.0,,,,,,2.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,1,,,,,1.0,,,1.0,19,,,
010000,,,2,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,14.0,,,,1.0,,,2.0,22.0,,5,,,,,3.0,,6.0,1.0,6,,,
