states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101001,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,657,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,906.0,1024.0,258.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
011000,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,,,,104.0,,472.0,,,,,,,,
000010,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,4.0,,273.0,,,,,,,,
100001,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,6.0,,,,,,,,
010000,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2.0,,,,,,,,
000001,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3.0,,,,,,,,,,
000100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3.0,,5.0,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
101000,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3.0,,1.0,,,,,,,,
001000,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4.0,,,,,,,,
001001,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.0,,3.0,,,,,,,,
000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
