states,counts_p3_1of20,counts_p3_2of20,counts_p3_3of20,counts_p3_4of20,counts_p3_5of20,counts_p3_6of20,counts_p3_7of20,counts_p3_8of20,counts_p3_9of20,counts_p3_10of20,counts_p3_11of20,counts_p3_12of20,counts_p3_13of20,counts_p3_14of20,counts_p3_15of20,counts_p3_16of20,counts_p3_17of20,counts_p3_18of20,counts_p3_19of20,counts_p3_20of20
011000,617,634,389,631.0,611.0,595.0,543,667,944,803,702.0,411,518,707,803,820,858,666,562,682.0
000010,265,150,1,166.0,115.0,140.0,211,162,29,151,233.0,149,240,87,89,57,21,154,181,145.0
000001,86,31,516,122.0,211.0,265.0,150,35,1,15,85.0,242,54,82,46,46,7,143,107,140.0
100000,27,135,21,78.0,67.0,,43,86,12,9,2.0,22,32,93,52,67,89,30,42,41.0
000000,14,37,49,10.0,10.0,19.0,30,13,10,24,,2,52,20,21,11,4,16,86,4.0
000100,7,29,33,17.0,,1.0,6,1,9,11,1.0,175,93,19,1,3,27,10,10,11.0
010000,6,3,10,,5.0,2.0,18,28,8,7,1.0,9,23,5,5,9,9,2,16,1.0
001000,2,5,5,,5.0,2.0,23,32,11,4,,14,12,11,7,11,9,3,20,
