states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110000,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,297.0,1024.0,,1024.0,105,1024.0,291.0,284.0,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,3,41,1024.0,156,20.0,284.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
000001,,,,,,,,,,,,,,,,,,,,,,292.0,,673.0,,304,,279.0,284.0,,,,,661.0,,,662,169,,263,216.0,283.0,,,,,,,,
101000,,,,,,,,,,,,,,,,,,,,,,183.0,,91.0,,388,,191.0,205.0,,,,,90.0,,,93,19,,41,83.0,195.0,,,,,,,,
000100,,,,,,,,,,,,,,,,,,,,,,125.0,,51.0,,25,,134.0,139.0,,,,,51.0,,,60,184,,391,29.0,116.0,,,,,,,,
001010,,,,,,,,,,,,,,,,,,,,,,45.0,,51.0,,30,,48.0,52.0,,,,,50.0,,,68,65,,4,61.0,52.0,,,,,,,,
010000,,,,,,,,,,,,,,,,,,,,,,26.0,,26.0,,18,,29.0,16.0,,,,,31.0,,,24,76,,45,3.0,27.0,,,,,,,,
000010,,,,,,,,,,,,,,,,,,,,,,15.0,,4.0,,4,,9.0,6.0,,,,,7.0,,,4,35,,6,8.0,19.0,,,,,,,,
001000,,,,,,,,,,,,,,,,,,,,,,15.0,,,,5,,17.0,17.0,,,,,,,,1,49,,15,34.0,25.0,,,,,,,,
100010,,,,,,,,,,,,,,,,,,,,,,11.0,,20.0,,7,,14.0,7.0,,,,,31.0,,,21,89,,26,19.0,8.0,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,10.0,,33.0,,46,,7.0,12.0,,,,,43.0,,,30,73,,50,244.0,12.0,,,,,,,,
101010,,,,,,,,,,,,,,,,,,,,,,5.0,,70.0,,91,,5.0,2.0,,,,,56.0,,,52,214,,23,307.0,3.0,,,,,,,,
000000,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1,,,,,,,,4.0,,,6,10,,4,,,,,,,,,,
