states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110000,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,16.0,1024.0,1024.0,22.0,123.0,1024.0,1024.0,1024.0,66.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,60.0,1024.0,1024.0,1024.0,678,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,21.0,1024.0,1024.0,88.0,1024.0,1024.0
000010,,,,,,,,,,,,,,,,,,,862.0,,,4.0,689.0,,,,234.0,,,,,,,302.0,,,,12,,,,,,,854.0,,,713.0,,
000001,,,,,,,,,,,,,,,,,,,136.0,,,1.0,89.0,,,,560.0,,,,,,,497.0,,,,2,,,,,,,133.0,,,93.0,,
100000,,,,,,,,,,,,,,,,,,,6.0,,,,82.0,,,,16.0,,,,,,,40.0,,,,10,,,,,,,7.0,,,78.0,,
000000,,,,,,,,,,,,,,,,,,,1.0,,,1.0,11.0,,,,16.0,,,,,,,,,,,2,,,,,,,4.0,,,20.0,,
100100,,,,,,,,,,,,,,,,,,,1.0,,,60.0,,,,,31.0,,,,,,,30.0,,,,3,,,,,,,1.0,,,,,
101000,,,,,,,,,,,,,,,,,,,1.0,,,69.0,,,,,16.0,,,,,,,13.0,,,,1,,,,,,,,,,,,
101100,,,,,,,,,,,,,,,,,,,1.0,,,850.0,18.0,,,,11.0,,,,,,,18.0,,,,308,,,,,,,,,,15.0,,
001000,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,,,,,,,,,,,7.0,,,,1,,,,,,,1.0,,,9.0,,
010000,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,38.0,,,,,,,38.0,,,,3,,,,,,,1.0,,,2.0,,
001100,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,17.0,,,,,,,4.0,,,,3,,,,,,,,,,,,
000100,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,19.0,,,,,,,15.0,,,,1,,,,,,,2.0,,,6.0,,
