states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110011,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,2.0,1024.0,1024.0,1024.0,1024.0,24,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
001100,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,,463,,,,,,,,,,,,,,,,,
000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,6,,,,,,,,,,,,,,,,,
101001,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,13,,,,,,,,,,,,,,,,,
100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,18,,,,,,,,,,,,,,,,,
000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,5,,,,,,,,,,,,,,,,,
001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,8,,,,,,,,,,,,,,,,,
001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,16,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,3,,,,,,,,,,,,,,,,,
101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,109,,,,,,,,,,,,,,,,,
000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,2,,,,,,,,,,,,,,,,,
010010,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,60,,,,,,,,,,,,,,,,,
110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,17,,,,,,,,,,,,,,,,,
110010,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,11,,,,,,,,,,,,,,,,,
000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1,,,,,,,,,,,,,,,,,
010011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,32,,,,,,,,,,,,,,,,,
010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,41,,,,,,,,,,,,,,,,,
000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,29,,,,,,,,,,,,,,,,,
100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,64,,,,,,,,,,,,,,,,,
010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11,,,,,,,,,,,,,,,,,
100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,
110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
