states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,,,,,,,,,,,,5.0,,,,5.0,3.0,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,6.0,,,,,,4.0,,,,,,,2.0,,,2.0,19,,,,,,,5,,,,,,,,,,1,,,2.0,,,,,,3,,,,,,,
000001,,,,,,,,1.0,,,,,,12.0,,,,,15.0,,,,,,,1.0,,,,,,,1.0,3.0,,,,,,,12.0,,50.0,,,,,21.0,,20.0,,,,,,16.0,,,,,,,13.0,,,,1,,,,,,,1,,,,,,,,2.0,,2,,,14.0,,,,56.0,,15,,22.0,1.0,,,,
000010,,,,,,,,20.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,21.0,22.0,,,,,,,,,12.0,,,,,399.0,,22.0,,,,,,2.0,,,,,,,,,,1.0,50,,,,,,,16,,,,,,1.0,,42.0,,10,1.0,,,,,,12.0,,1,,233.0,5.0,,,,
000100,,,,,,,,,,,,,,11.0,,,,12.0,,1.0,,,,,,1.0,,,,,,,,20.0,,,,,,,14.0,,,,1.0,,,36.0,,,,,,,,7.0,,,,,,,8.0,,,,3,,,,,,,1,,,,,,2.0,,28.0,,3,,,8.0,,,,,,7,6.0,11.0,1.0,,,,
000101,,,,,,,,9.0,,,,,,10.0,,,,75.0,4.0,4.0,,,,,,21.0,,,,,,,33.0,22.0,,,,,,,21.0,,17.0,,18.0,,,55.0,,18.0,,,,,,1.0,,,,,,,13.0,,,5.0,1,,,,,,,17,,,,,,2.0,,44.0,,4,1.0,,11.0,,,,15.0,,7,23.0,25.0,41.0,,,,
001000,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,11.0,,,,,,,,4.0,,,,,,,5.0,,,,14.0,,,15.0,,11.0,,,,,,,,,,,,,1.0,,,1.0,8,,,,,,,1,,,,,,,,3.0,,7,,,3.0,,,,,,3,7.0,25.0,3.0,,,,
001001,,,,,,,,,,,,,,2.0,,,,11.0,5.0,5.0,,,,,,6.0,,,,,,,4.0,19.0,,,,,,,137.0,,37.0,,6.0,,,14.0,,1.0,,,,,,2.0,,,,,,,,,,4.0,1,,,,,,,26,,,,,,1.0,,29.0,,4,2.0,,5.0,,,,24.0,,2,2.0,29.0,42.0,,,,
001100,,,,,,,,32.0,,,,,,5.0,,,,63.0,16.0,5.0,,,,,,8.0,,,,,,,,1.0,,,,,,,2.0,,13.0,,5.0,,,43.0,,13.0,,,,,,16.0,,,,,,,10.0,,,3.0,21,,,,,,,20,,,,,,2.0,,1.0,,1,7.0,,7.0,,,,7.0,,9,5.0,47.0,39.0,,,,
001101,,,,,,,,99.0,,,,,,5.0,,,,306.0,45.0,12.0,,,,,,27.0,,,,,,,61.0,612.0,,,,,,,45.0,,188.0,,18.0,,,17.0,,106.0,,,,,,2.0,,,,,,,2.0,,,16.0,371,,,,,,,428,,,,,,19.0,,581.0,,24,19.0,,1.0,,,,188.0,,2,44.0,186.0,19.0,,,,
010000,,,,,,,,,,,,,,4.0,,,,3.0,20.0,14.0,,,,,,26.0,,,,,,,7.0,14.0,,,,,,,2.0,,22.0,,23.0,,,60.0,,10.0,,,,,,5.0,,,,,,,9.0,,,24.0,10,,,,,,,6,,,,,,23.0,,11.0,,22,18.0,,10.0,,,,18.0,,1,7.0,54.0,2.0,,,,
