states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,1.0,,,,,,,4.0,,,,,,,,,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,1.0,,,3.0,1.0,,,,1.0,,,5.0,,1,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,16.0,,,,,,,,
000001,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,1.0,,,,,,,24.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,8.0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
000010,,,,,,,,1.0,,,,,,,,,,1.0,,,4.0,,,,,,,15.0,,,,2.0,,,,1.0,,,26.0,2.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,2,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,8.0,,,,,,,,
000100,,,,,,,,2.0,,5.0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,2.0,4.0,,15.0,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,2.0,,2,,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,6.0,,,,,,,,
000101,,,,,,,,7.0,,,,,,,,,,3.0,,,2.0,,,,,1.0,,3.0,,,,2.0,,,,3.0,,,6.0,,,,,,,,,,,,,3.0,,,17.0,1.0,,,,6.0,,,3.0,,4,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,7.0,,,,,,,,
000110,,,,1.0,,,,4.0,,1.0,,,,,5.0,,2.0,2.0,,,2.0,,,,,1.0,,7.0,,,,,,,,3.0,,,8.0,,,,,,,,,,,,,,,,9.0,,,,,,,,3.0,,2,,,,,5.0,,,1.0,,,1.0,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,
001000,,,,,,,,1.0,,5.0,,,,,10.0,,4.0,1.0,,,,,,,,2.0,,29.0,,,,,,,,,5.0,,19.0,1.0,,,,,,,,,,,,,,,12.0,1.0,,,,9.0,,,24.0,,69,,,,,4.0,,,1.0,,,,,,,,,,,,,,11.0,,,,,18.0,,,,,,,,
001001,890.0,,,13.0,,,,1.0,,,,,,,711.0,,,,,,3.0,,,,,,,30.0,,,,395.0,,,,3.0,,,368.0,25.0,,,,,,,,,,,,4.0,,,103.0,761.0,,,,,,,64.0,,338,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,47.0,,,338.0,,,,,,,,
001010,15.0,,,1.0,,,,5.0,,9.0,,,,,9.0,,,6.0,,,,,,,,,,1.0,,,,18.0,,,,1.0,,,45.0,,,,,,,,,,,,,1.0,,,17.0,23.0,,,,4.0,,,37.0,,18,,,,,6.0,,,,,,,,,,,,,,,,,4.0,,20.0,,,15.0,,,,,,,,
001100,2.0,,,5.0,,,,23.0,,55.0,,,,,3.0,,116.0,93.0,,,6.0,,,,,44.0,,60.0,,,,4.0,,,,2.0,102.0,,2.0,,,,,,,,,,,,,3.0,,,4.0,1.0,,,,200.0,,,60.0,,42,,,,,19.0,,,78.0,,,3.0,,,,,,,,,,,72.0,,18.0,,,9.0,,,,,,,,
001101,2.0,,,624.0,,,,86.0,,8.0,,,,,171.0,,15.0,25.0,,,265.0,,,,,22.0,,268.0,,1.0,,315.0,,,,262.0,1.0,,217.0,899.0,,,,,,,,,,,,255.0,,,295.0,52.0,,,,127.0,,,248.0,,132,,,,,422.0,,,59.0,,,254.0,,,,,2.0,,,,,,,,329.0,,,150.0,,,,,,,,
001110,9.0,,,8.0,,,,124.0,,174.0,,,,,18.0,,66.0,124.0,,,7.0,,,,,111.0,,11.0,,,,18.0,,,,3.0,320.0,,53.0,4.0,,,,,,,,,,,,1.0,,,83.0,7.0,,,,75.0,,,65.0,,7,,,,,3.0,,,99.0,,,1.0,,,,,,,,,,,268.0,,147.0,,,1.0,,,,,,,,
010000,,,,1.0,,,,132.0,,33.0,,,,,50.0,,117.0,101.0,,,51.0,,,,,182.0,,36.0,,,,36.0,,,,136.0,56.0,,88.0,27.0,,,,,,,,,,,,139.0,,,89.0,29.0,,,,13.0,,,169.0,,78,,,,,,,,12.0,,,127.0,,,,,,,,,,,91.0,,36.0,,,56.0,,,,,,,,
100000,1.0,,,1.0,,,,2.0,,3.0,,,,,2.0,,1.0,,,,,,,,,1.0,,8.0,,,,8.0,,,,4.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,2.0,,,,,20.0,,,1.0,,2,,,,,1.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
100010,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,11.0,,,1.0,,5,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,12.0,,,,,,,,
100100,5.0,,,,,,,,,2.0,,,,,3.0,,2.0,,,,2.0,,,,,1.0,,7.0,,,,10.0,,,,5.0,1.0,,3.0,,,,,,,,,,,,,5.0,,,,,,,,12.0,,,12.0,,2,,,,,,,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
100110,,,,1.0,,,,1.0,,8.0,,,,,,,5.0,6.0,,,2.0,,,,,,,5.0,,,,3.0,,,,2.0,6.0,,8.0,1.0,,,,,,,,,,,,3.0,,,2.0,1.0,,,,,,,4.0,,1,,,,,2.0,,,5.0,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,
101000,4.0,,,,,,,4.0,,1.0,,,,,1.0,,3.0,1.0,,,1.0,,,,,1.0,,15.0,,,,,,,,7.0,,,4.0,,,,,,,,,,,,,4.0,,,7.0,11.0,,,,18.0,,,10.0,,25,,,,,1.0,,,2.0,,,10.0,,,,,,,,,,,,,19.0,,,17.0,,,,,,,,
101010,89.0,,,8.0,,,,8.0,,65.0,,,,,33.0,,14.0,9.0,,,5.0,,,,,8.0,,60.0,,,,118.0,,,,2.0,5.0,,105.0,1.0,,,,,,,,,,,,2.0,,,26.0,131.0,,,,25.0,,,126.0,,180,,,,,5.0,,,,,,4.0,,,,,,,,,,,38.0,,38.0,,,243.0,,,,,,,,
101100,3.0,,,12.0,,,,198.0,,4.0,,,,,,,26.0,7.0,,,153.0,,,,,27.0,,80.0,,,,,,,,165.0,16.0,,,3.0,,,,,,,,,,,,147.0,,,57.0,,,,,,,,,,6,,,,,43.0,,,11.0,,,139.0,,,,,,,,,,,20.0,,150.0,,,10.0,,,,,,,,
101110,3.0,1024.0,1024.0,349.0,1024.0,1024.0,1024.0,415.0,1024.0,651.0,1024.0,1024.0,1024.0,1024.0,6.0,1024.0,645.0,643.0,1024.0,1024.0,519.0,1024.0,1024.0,1024.0,1024.0,623.0,1024.0,385.0,1024.0,1023.0,1024.0,92.0,1024.0,1024.0,1024.0,423.0,505.0,1024.0,25.0,61.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,454.0,1024.0,1024.0,283.0,5.0,1024.0,1024.0,1024.0,497.0,1024.0,1024.0,182.0,1024.0,104,1024.0,1024.0,1024.0,1024.0,501.0,1024.0,1024.0,748.0,1024.0,1024.0,463.0,1024.0,1024.0,1024.0,1024.0,1022.0,1024.0,1024.0,1024.0,1024.0,1024.0,512.0,1024.0,216.0,1024.0,1024.0,104.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
