states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,3,,,,2.0,,,2,,1.0,13,,1.0,,,1.0,,,,,,,9.0,4,,19.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,8.0,,,,,8.0,,,,,,,,,,,,,,,3.0,,,,,,,,9,5.0,,3,4.0,,1.0,,,3.0,,,,,,2.0,
000001,2,,,,11.0,,,14,,2.0,23,,,,,,,,3.0,,,,13.0,1,,4.0,,,,,,,10.0,,,5.0,,,6.0,,,,,,,,,,,,5.0,,,,8.0,,,,,,5.0,,,,2.0,2.0,,1.0,,,1.0,9.0,,,,5.0,,,,,,,5.0,31,,,15,7.0,,,,,,,,,,,4.0,
000010,16,,,,8.0,,,84,,,21,,1.0,,,1.0,,,,,1.0,,16.0,206,,45.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,42.0,,,,,1.0,,1.0,,,,44.0,,,,1.0,,,,,,,4.0,14,21.0,,105,45.0,,3.0,,,41.0,,,,,,,
000100,8,,,,24.0,,,4,,,39,,6.0,,3.0,,1.0,,5.0,,7.0,,,11,,1.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,12.0,,,2.0,,4.0,,,,,2.0,,,,5.0,1.0,6.0,2.0,,,1.0,,,,,29.0,,,,,,11.0,2.0,1,25.0,,7,59.0,,8.0,,,1.0,,,,,,5.0,
000101,2,,,,44.0,,,5,,1.0,12,,11.0,,4.0,,1.0,,,,2.0,,,89,,,,,,,,,14.0,,,8.0,1.0,,8.0,,,,,,,,,,,,7.0,,,12.0,4.0,2.0,,,,,16.0,,,,1.0,2.0,14.0,6.0,,,7.0,5.0,,,,28.0,2.0,,,,,9.0,3.0,5,18.0,,39,5.0,,25.0,,,2.0,,,,,,7.0,
001000,14,,,,3.0,,,9,,1.0,9,,,,1.0,1.0,,,2.0,,2.0,,,4,,48.0,,,,,,,3.0,,,,2.0,,3.0,,,,,,,,,,,,4.0,,,,3.0,1.0,,,,,36.0,,,,,3.0,1.0,1.0,,,3.0,1.0,,,,5.0,,,,,,,7.0,1,10.0,,12,8.0,,2.0,,,,,,,,,16.0,
001100,450,,,,371.0,,,44,,30.0,382,,26.0,,20.0,11.0,12.0,,24.0,,26.0,,831.0,233,,148.0,,,,,,,1.0,,,28.0,17.0,,30.0,,,,,,,,,,,,1.0,,,37.0,41.0,37.0,,,,,247.0,,,,12.0,24.0,12.0,15.0,,,9.0,72.0,,,,88.0,8.0,,,,,38.0,565.0,594,294.0,,35,290.0,,399.0,,,394.0,,,,,,86.0,
010000,2,,,,,,,7,,1.0,6,,1.0,,3.0,3.0,1.0,,1.0,,11.0,,4.0,7,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,5.0,,,,1.0,1.0,,2.0,,,,1.0,,,,6.0,1.0,,,,,1.0,12.0,1,50.0,,1,,,5.0,,,16.0,,,,,,2.0,
010001,2,,,,,,,8,,3.0,6,,2.0,,8.0,10.0,7.0,,3.0,,9.0,,1.0,1,,11.0,,,,,,,11.0,,,2.0,7.0,,7.0,,,,,,,,,,,,9.0,,,3.0,2.0,6.0,,,,,,,,,9.0,7.0,4.0,9.0,,,5.0,,,,,,6.0,,,,,13.0,19.0,25,4.0,,17,12.0,,2.0,,,14.0,,,,,,4.0,
010100,31,,,,57.0,,,66,,9.0,106,,221.0,,9.0,16.0,5.0,,4.0,,24.0,,6.0,280,,41.0,,,,,,,7.0,,,20.0,11.0,,13.0,,,,,,,,,,,,5.0,,,213.0,19.0,208.0,,,,,32.0,,,,2.0,16.0,23.0,15.0,,,128.0,29.0,,,,19.0,18.0,,,,,23.0,31.0,276,2.0,,101,33.0,,70.0,,,268.0,,,,,,16.0,
