states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,,,,,1,12,,2.0,1,,,,26,,,19.0,1.0,3.0,,2,13,,,,,,3.0,,,12.0,1.0,3.0,,,,,1,3,3.0,,3.0,1.0,,,,2.0,,2.0,,,6.0,,,,,3.0,2.0,,,,,,6.0,,,,6.0,,5.0,,,,22.0,,,,,3.0,,,,,,3.0,,,,,,,,,,1,,,,
000001,,,,,,,21,50,,18.0,3,,,,3,,,2.0,2.0,,,8,17,,3.0,,,,2.0,,,,,22.0,29.0,,,,2,30,,2.0,6.0,2.0,,,,,,2.0,,,,,,,,1.0,3.0,,,,,,,,,,,6.0,1.0,,,,16.0,,,,,,,8.0,,,,1.0,,23.0,,,,,,3.0,,15,,,,
000010,,,,,,,24,97,,4.0,4,,,,10,,,,1.0,19.0,,27,34,,4.0,1024.0,1024.0,1.0,36.0,,,127.0,7.0,171.0,111.0,,,,14,39,3.0,3.0,2.0,4.0,,,,8.0,,46.0,2.0,,4.0,,,,8.0,4.0,2.0,,,,,12.0,2.0,,,,8.0,33.0,2.0,,,,90.0,,,,,46.0,,19.0,,,,87.0,,38.0,,,,,,4.0,,151,,,,
000100,,,,,,,63,144,,17.0,9,,,,35,,,40.0,7.0,9.0,,7,27,,1.0,,,,7.0,,,1.0,6.0,14.0,32.0,,,,7,203,9.0,6.0,34.0,7.0,,,,6.0,,40.0,2.0,,3.0,,,,10.0,3.0,2.0,,,,,6.0,9.0,,,,13.0,19.0,4.0,,,,63.0,,,,,287.0,,4.0,,,,60.0,,74.0,,,,,1.0,1.0,,27,,,,
001000,,,,,,,10,20,,6.0,7,,1.0,,1,,,10.0,5.0,,,3,12,,,,,,4.0,,,,2.0,4.0,5.0,,,,2,2,4.0,2.0,12.0,,,,,1.0,,,,,9.0,,,,,,2.0,,,,,,2.0,,,,3.0,1.0,3.0,,,,7.0,,,,,3.0,,2.0,,,,3.0,,1.0,,,,,,1.0,,1,,,,
001001,,16.0,,,,,640,390,,587.0,630,,705.0,3.0,9,,,528.0,641.0,757.0,,705,822,1.0,632.0,,,805.0,289.0,,,664.0,643.0,407.0,469.0,12.0,,,718,451,834.0,742.0,835.0,741.0,,,,654.0,,631.0,38.0,,544.0,,,,668.0,619.0,305.0,,,,,618.0,67.0,,,,820.0,393.0,640.0,,,,65.0,,,,,290.0,,241.0,,,,185.0,,370.0,23.0,,,,20.0,641.0,1.0,411,,,,
010000,,,,,,,1,2,,,2,,,,1,,,,,,,7,2,,,,,,,,,,1.0,,1.0,,,,1,1,2.0,,,2.0,,,,4.0,,6.0,,,,,,,2.0,2.0,,,,,,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,1,,,,
010001,,,,,,,4,24,,94.0,40,,49.0,,144,,,100.0,19.0,3.0,,17,8,,8.0,,,,66.0,,,5.0,15.0,22.0,41.0,,,,5,5,13.0,42.0,47.0,6.0,,,,28.0,,17.0,1.0,,39.0,,,,9.0,20.0,5.0,,,,,15.0,22.0,,,,1.0,25.0,18.0,,,,6.0,,,,,34.0,,9.0,,,,4.0,,13.0,1.0,,,,,15.0,,43,,,,
100000,,,,,,,4,8,,2.0,2,,,,5,,,11.0,,,,5,2,,2.0,,,,2.0,,,2.0,2.0,3.0,1.0,,,,1,3,3.0,,2.0,2.0,,,,2.0,,,,,1.0,,,,1.0,2.0,7.0,,,,,3.0,,,,,,2.0,,,,,,,,,,5.0,,3.0,,,,3.0,,1.0,,,,,,1.0,,2,,,,
100001,,,,,,,34,147,,191.0,117,,100.0,,43,,,190.0,142.0,6.0,,87,18,,124.0,,,,22.0,,,109.0,165.0,173.0,37.0,,,,10,34,5.0,121.0,77.0,14.0,,,,151.0,,258.0,17.0,,121.0,,,,316.0,157.0,195.0,,,,,154.0,76.0,,,,11.0,200.0,158.0,,,,30.0,,,,,277.0,,207.0,,,,190.0,,40.0,,,,,,155.0,,95,,,,
