states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,7.0,,,,,,1.0,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,1.0,,,,,,,,,,,,,1.0,,,6.0,,,,,,,7.0,,11,,,,,,,,,,,,,,2.0,,,,,2.0
000001,,,,,,,,,2.0,,,,14.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,37.0,,6,,,,,,,,,,,,,,1.0,,,,,
000010,,,1.0,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,3.0,,,9.0,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
000011,,,,,,,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,18.0,,,15.0,,,,,,,4.0,,2,,,,,1.0,,,,,,,,,8.0,,,,,
000100,,1.0,1.0,,,,,,1.0,,,,3.0,,,7.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,22.0,,6,,,,,,,,,,,,,,,,,,,
000101,,5.0,1.0,,,,,,4.0,,,,8.0,,,14.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,5.0,,,14.0,,,12.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,2,,,,,,,,,,,,,,1.0,,,,,2.0
000110,,3.0,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,10.0,,,1.0,,,,,,,6.0,,3,,,,,,,,,,,,,,7.0,,,,,
000111,,33.0,9.0,,,,,,,,,,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,68.0,,,4.0,,,3.0,,,,,,,,,,51.0,,,24.0,,,,,,,3.0,,3,,,,,13.0,,,,,,,,,10.0,,,,,6.0
001000,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,4.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,27,,,,,,,,,,,,,,4.0,,,,,
001001,,15.0,3.0,,,,,,10.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,40.0,,,50.0,,,,,,,27.0,,10,,,,,1.0,,,,,,,,,30.0,,,,,
001010,,14.0,1.0,,,,,,19.0,,,,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,16.0,,,3.0,,,10.0,,,,,,,,,,9.0,,,20.0,,,,,,,38.0,,24,,,,,,,,,,,,,,,,,,,
001011,,29.0,22.0,,,,,,1.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,58.0,,,8.0,,,2.0,,,,,,,,,,75.0,,,299.0,,,,,,,2.0,,83,,,,,60.0,,,,,,,,,136.0,,,,,8.0
001100,,69.0,,,,,,,7.0,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,25.0,,,8.0,,,,,,,7.0,,2,,,,,1.0,,,,,,,,,27.0,,,,,4.0
001101,,120.0,8.0,,,,,,1.0,,,,167.0,,,6.0,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,41.0,,,16.0,,,,,,,,,,,,,60.0,,,13.0,,,,,,,78.0,,24,,,,,,,,,,,,,,29.0,,,,,39.0
001110,,55.0,12.0,,,,,,9.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,62.0,,,,,,10.0,,,,,,,,,,66.0,,,2.0,,,,,,,7.0,,66,,,,,,,,,,,,,,54.0,,,,,11.0
001111,,406.0,315.0,,,,,,743.0,,,,488.0,,,865.0,,,,,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,608.0,,,264.0,,,710.0,,,,,,,,,,350.0,,,245.0,,,,,,,551.0,,123,,,,,493.0,,,,,,,,,306.0,,,,,276.0
010000,,118.0,111.0,,,,,,23.0,,,,146.0,,,8.0,,,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,90.0,,,90.0,,,11.0,,,,,,,,,,14.0,,,28.0,,,,,,,23.0,,37,,,,,1.0,,,,,,,,,18.0,,,,,15.0
100000,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,14.0,,,4.0,,,,,,,,,,,,,6.0,,,4.0,,,,,,,46.0,,23,,,,,,,,,,,,,,2.0,,,,,1.0
100010,,6.0,4.0,,,,,,15.0,,,,9.0,,,7.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,8.0,,,8.0,,,53.0,,,,,,,,,,29.0,,,8.0,,,,,,,33.0,,18,,,,,10.0,,,,,,,,,4.0,,,,,7.0
101000,,68.0,13.0,,,,,,18.0,,,,36.0,,,2.0,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,9.0,,,23.0,,,41.0,,,,,,,,,,60.0,,,22.0,,,,,,,64.0,,54,,,,,1.0,,,,,,,,,82.0,,,,,118.0
101010,1024.0,78.0,516.0,1024.0,1024.0,1024.0,1024.0,1024.0,145.0,1024.0,1024.0,1024.0,20.0,1024.0,1024.0,99.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,60.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,18.0,1024.0,1024.0,581.0,1024.0,1024.0,153.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,198.0,1024.0,1024.0,263.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,66.0,1024.0,490,1024.0,1024.0,1024.0,1024.0,443.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,303.0,1024.0,1024.0,1024.0,1024.0,535.0
