states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101101,1024.0,1024.0,895.0,1024.0,849.0,1024.0,1024.0,888.0,1024.0,916.0,1024.0,1024.0,1007.0,1024.0,1024.0,842.0,1024.0,27.0,1024.0,1024.0,996.0,832.0,27.0,1024.0,987.0,1024.0,1002.0,1024.0,837.0,1024.0,1018.0,1024.0,1024.0,1024.0,850.0,1024.0,1020.0,1024.0,1024.0,1024.0,207.0,891.0,863.0,1017.0,886.0,764.0,1024.0,1024.0,989.0,1006.0
010010,,,90.0,,115.0,,,88.0,,69.0,,,8.0,,,108.0,,706.0,,,14.0,136.0,722.0,,21.0,,12.0,,127.0,,3.0,,,,121.0,,2.0,,,,359.0,90.0,103.0,3.0,97.0,193.0,,,25.0,10.0
001101,,,26.0,,31.0,,,28.0,,31.0,,,5.0,,,43.0,,32.0,,,11.0,33.0,28.0,,13.0,,8.0,,34.0,,3.0,,,,31.0,,2.0,,,,9.0,28.0,31.0,4.0,29.0,51.0,,,7.0,6.0
000010,,,10.0,,11.0,,,10.0,,3.0,,,,,,9.0,,15.0,,,,8.0,14.0,,1.0,,,,6.0,,,,,,10.0,,,,,,8.0,6.0,11.0,,5.0,,,,1.0,
000101,,,1.0,,2.0,,,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,,5.0,,,,,,2.0,,,,,,,2.0,5.0,,2.0,3.0,,,,
101001,,,1.0,,6.0,,,5.0,,,,,3.0,,,2.0,,42.0,,,1.0,5.0,27.0,,,,,,2.0,,,,,,3.0,,,,,,97.0,2.0,6.0,,3.0,2.0,,,,
101100,,,1.0,,8.0,,,,,3.0,,,1.0,,,14.0,,107.0,,,2.0,4.0,124.0,,,,,,11.0,,,,,,5.0,,,,,,89.0,2.0,4.0,,1.0,2.0,,,1.0,2.0
000000,,,,,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,
000110,,,,,1.0,,,,,,,,,,,2.0,,30.0,,,,1.0,27.0,,1.0,,2.0,,,,,,,,1.0,,,,,,50.0,,,,,1.0,,,,
100101,,,,,,,,3.0,,2.0,,,,,,1.0,,7.0,,,,1.0,2.0,,1.0,,,,2.0,,,,,,1.0,,,,,,13.0,2.0,,,1.0,,,,,
101000,,,,,,,,,,,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,81.0,,1.0,,,,,,,
001100,,,,,,,,,,,,,,,,,,33.0,,,,,31.0,,,,,,,,,,,,,,,,,,34.0,,,,,1.0,,,,
001001,,,,,,,,,,,,,,,,,,8.0,,,,,4.0,,,,,,,,,,,,,,,,,,16.0,,,,,1.0,,,,
000100,,,,,,,,,,,,,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,
100001,,,,,,,,,,,,,,,,,,5.0,,,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
010000,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
001000,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,21.0,1.0,,,,1.0,,,,
100100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,
