states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,,,,,5,,,,,,,,1.0,,,,14.0,,,,,,10.0,2.0,,,,,,31,21.0,,,,1.0,,,,2,,,,,7.0,,,,2.0
000001,,,,,,,4,,,,,10.0,,2.0,6.0,,,,1.0,1.0,3.0,,,,,3.0,,,,,,23,4.0,,,,1.0,,,,18,,,,,4.0,,,,2.0
000010,,,,,,,49,,,,,1.0,,2.0,2.0,,5.0,,,9.0,163.0,,,,4.0,129.0,,,,,,33,10.0,,,,29.0,,,,123,,,,,1.0,,,,169.0
000100,,,,,,,20,,,,,4.0,,,9.0,,,,1.0,,,,,,1.0,,,,,,,109,,,,,,,,,173,,,,,2.0,,,,
000101,,,,,,,21,,,,,6.0,,1.0,3.0,,2.0,,,2.0,4.0,,,,,1.0,,,,,,191,1.0,,,,167.0,,,,84,,,,,2.0,,,,
001000,,,,,,,2,,,,,2.0,,2.0,4.0,,4.0,,6.0,1.0,15.0,,,,4.0,22.0,,,,,,43,2.0,,,,7.0,,,,50,,,,,8.0,,,,25.0
010000,,,,,,,39,,,,,6.0,,3.0,,3.0,5.0,,1.0,2.0,12.0,,,,4.0,16.0,,,,,,13,2.0,,,,65.0,,,,49,,,,,,,,,10.0
010001,,,,,,,84,,,,,28.0,,21.0,15.0,12.0,19.0,,82.0,21.0,,,,,83.0,,,,,,,5,63.0,,,,53.0,,,,71,,,,,56.0,,,,1.0
011000,,,,,,,154,,,,,604.0,,875.0,615.0,129.0,837.0,,578.0,850.0,539.0,,,,597.0,504.0,,,,,,457,598.0,,,,345.0,,,,8,,,,,558.0,,,,488.0
100000,,,,,,,39,,,,,,,,,,,,,1.0,3.0,,,,,3.0,,,,,,7,,,,,38.0,,,,2,,,,,,,,,4.0
100001,,,,,,,2,,,,,23.0,,2.0,20.0,1.0,3.0,,11.0,2.0,109.0,,,,12.0,124.0,,,,,,26,7.0,,,,180.0,,,,13,,,,,10.0,,,,104.0
110000,,,,,,,38,,,,,18.0,,2.0,26.0,1.0,5.0,,21.0,2.0,20.0,,,,81.0,28.0,,,,,,77,85.0,,,,11.0,,,,393,,,,,28.0,,,,24.0
110001,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,567,1024.0,1024.0,1024.0,1024.0,322.0,1024.0,114.0,323.0,878.0,144.0,1024.0,309.0,133.0,156.0,1024.0,1024.0,1024.0,228.0,192.0,1024.0,1024.0,1024.0,1024.0,1024.0,9,231.0,1024.0,1024.0,1024.0,127.0,1024.0,1024.0,1024.0,38,1024.0,1024.0,1024.0,1024.0,348.0,1024.0,1024.0,1024.0,195.0
