states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000101,591.0,416.0,59.0,390.0,97.0,,346.0,3.0,68.0,107.0,72.0,102,,98.0,122.0,419.0,339.0,3.0,45.0,388.0,396.0,72.0,58.0,99,13.0,27.0,383,101,355,679.0,111.0,112,361.0,,423.0,,361.0,326,379.0,267.0,340.0,375.0,584.0,382.0,378.0,56.0,6.0,313,60.0,84.0
001010,168.0,90.0,629.0,129.0,618.0,1024.0,242.0,238.0,14.0,37.0,605.0,4,1024.0,1.0,496.0,77.0,131.0,314.0,410.0,70.0,143.0,598.0,4.0,282,14.0,325.0,287,235,129,19.0,251.0,287,68.0,799.0,153.0,1024.0,141.0,6,57.0,141.0,150.0,107.0,202.0,125.0,107.0,616.0,318.0,5,627.0,554.0
001000,67.0,171.0,82.0,22.0,56.0,,49.0,,62.0,9.0,77.0,22,,20.0,88.0,141.0,13.0,3.0,30.0,153.0,18.0,81.0,12.0,13,5.0,37.0,47,13,31,9.0,18.0,17,27.0,6.0,32.0,,13.0,5,24.0,,33.0,24.0,66.0,31.0,39.0,85.0,6.0,3,86.0,6.0
100001,44.0,10.0,9.0,31.0,,,2.0,74.0,9.0,185.0,2.0,9,,,1.0,10.0,34.0,,20.0,1.0,35.0,8.0,2.0,8,136.0,28.0,6,27,37,20.0,72.0,13,34.0,1.0,18.0,,19.0,7,45.0,17.0,36.0,35.0,34.0,42.0,22.0,2.0,,15,3.0,67.0
000000,33.0,4.0,,8.0,3.0,,12.0,1.0,,10.0,,6,,2.0,,2.0,7.0,43.0,4.0,3.0,6.0,,8.0,5,,1.0,3,37,6,2.0,2.0,10,4.0,5.0,6.0,,4.0,2,2.0,20.0,3.0,6.0,23.0,6.0,10.0,,34.0,1,2.0,
011010,31.0,136.0,199.0,274.0,170.0,,106.0,254.0,85.0,259.0,206.0,148,,16.0,241.0,161.0,283.0,538.0,345.0,37.0,258.0,216.0,6.0,262,125.0,256.0,117,252,262,22.0,122.0,236,244.0,111.0,200.0,,285.0,251,277.0,329.0,249.0,276.0,35.0,228.0,253.0,217.0,543.0,251,187.0,17.0
000011,20.0,,,2.0,1.0,,,9.0,1.0,21.0,1.0,98,,,4.0,1.0,,41.0,11.0,6.0,7.0,2.0,2.0,27,1.0,58.0,16,78,1,82.0,15.0,12,10.0,25.0,1.0,,3.0,19,5.0,13.0,,3.0,20.0,,,1.0,30.0,19,,92.0
000010,18.0,2.0,,30.0,,,38.0,12.0,6.0,10.0,1.0,33,,,1.0,1.0,47.0,,1.0,,25.0,1.0,13.0,15,3.0,36.0,40,38,35,21.0,73.0,24,36.0,3.0,73.0,,34.0,28,34.0,,39.0,36.0,10.0,44.0,49.0,,2.0,24,2.0,4.0
011000,16.0,123.0,5.0,7.0,1.0,,7.0,2.0,220.0,44.0,12.0,19,,292.0,13.0,135.0,7.0,23.0,4.0,51.0,5.0,8.0,2.0,5,22.0,24.0,4,49,3,16.0,1.0,1,6.0,10.0,9.0,,9.0,12,14.0,4.0,6.0,9.0,14.0,9.0,17.0,9.0,35.0,13,12.0,16.0
000100,13.0,23.0,17.0,18.0,22.0,,86.0,249.0,462.0,6.0,14.0,19,,464.0,4.0,26.0,49.0,9.0,109.0,208.0,26.0,14.0,884.0,206,2.0,166.0,80,70,59,44.0,76.0,188,108.0,63.0,31.0,,33.0,80,75.0,134.0,61.0,34.0,13.0,48.0,31.0,16.0,12.0,88,7.0,88.0
