states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110001,550,824.0,302.0,773.0,12,621.0,461.0,686.0,815.0,447.0,573.0,114.0,764.0,34,931.0,616,483,771.0,6.0,186,189,631.0,661.0,656.0,488.0,628.0,462.0,470.0,679.0,821.0,583.0,659.0,598.0,645.0,532,90,159,808.0,140.0,34.0,759.0,92.0,40.0,165,181,100.0,6,342.0,708.0,21
010000,146,71.0,101.0,6.0,42,167.0,14.0,80.0,70.0,97.0,4.0,3.0,55.0,33,,51,15,8.0,11.0,11,8,181.0,38.0,89.0,40.0,186.0,61.0,18.0,31.0,69.0,3.0,63.0,183.0,172.0,1,11,32,85.0,33.0,1.0,21.0,5.0,,19,8,3.0,27,99.0,30.0,42
000101,93,,14.0,12.0,2,64.0,65.0,89.0,,1.0,101.0,47.0,,16,2.0,1,82,109.0,172.0,25,22,48.0,51.0,106.0,92.0,31.0,70.0,69.0,41.0,1.0,121.0,3.0,31.0,47.0,122,262,5,,15.0,35.0,,59.0,196.0,12,15,78.0,96,13.0,,2
100000,83,32.0,75.0,14.0,110,85.0,6.0,41.0,40.0,,,8.0,2.0,96,5.0,2,2,31.0,4.0,23,12,86.0,29.0,47.0,,82.0,1.0,4.0,30.0,33.0,,5.0,95.0,69.0,5,21,6,28.0,56.0,39.0,44.0,24.0,9.0,5,13,24.0,3,84.0,2.0,103
011000,37,6.0,1.0,62.0,284,46.0,282.0,11.0,4.0,40.0,115.0,66.0,,249,4.0,222,283,27.0,628.0,470,454,43.0,11.0,4.0,41.0,34.0,56.0,272.0,4.0,12.0,92.0,37.0,36.0,40.0,126,240,23,6.0,180.0,492.0,11.0,531.0,652.0,26,479,509.0,676,5.0,26.0,267
001000,36,,,24.0,5,9.0,74.0,16.0,,11.0,52.0,50.0,30.0,13,14.0,7,42,11.0,2.0,28,18,3.0,,31.0,9.0,5.0,44.0,62.0,,2.0,48.0,107.0,4.0,6.0,63,12,10,,99.0,145.0,24.0,27.0,5.0,6,22,31.0,4,2.0,67.0,7
000100,26,2.0,118.0,7.0,1,17.0,12.0,42.0,1.0,2.0,9.0,79.0,2.0,1,3.0,15,6,40.0,23.0,24,21,6.0,176.0,39.0,11.0,28.0,2.0,8.0,182.0,1.0,7.0,31.0,30.0,18.0,7,5,126,3.0,,22.0,2.0,19.0,8.0,107,23,7.0,37,80.0,85.0,2
010001,26,26.0,22.0,84.0,1,2.0,65.0,11.0,36.0,120.0,84.0,54.0,122.0,22,1.0,15,64,16.0,6.0,78,68,6.0,13.0,15.0,6.0,,1.0,65.0,19.0,37.0,90.0,3.0,,9.0,89,36,152,29.0,39.0,52.0,95.0,47.0,,142,59,64.0,25,9.0,16.0,2
110000,14,45.0,116.0,12.0,93,3.0,,3.0,40.0,244.0,20.0,511.0,1.0,106,17.0,2,1,1.0,103.0,85,131,5.0,8.0,,314.0,22.0,302.0,,5.0,31.0,10.0,22.0,38.0,11.0,3,71,303,45.0,50.0,128.0,36.0,118.0,93.0,318,122,108.0,93,173.0,5.0,97
000001,4,,41.0,12.0,39,,21.0,1.0,,1.0,23.0,,,27,19.0,6,27,1.0,16.0,6,6,,5.0,2.0,9.0,2.0,4.0,30.0,3.0,1.0,29.0,3.0,,,41,115,17,1.0,49.0,,3.0,27.0,1.0,10,7,17.0,11,34.0,10.0,23
000010,4,13.0,233.0,16.0,340,5.0,16.0,33.0,13.0,60.0,35.0,18.0,1.0,304,3.0,68,13,,48.0,56,41,5.0,17.0,26.0,11.0,,14.0,22.0,12.0,7.0,32.0,58.0,4.0,2.0,27,145,148,15.0,279.0,25.0,3.0,,7.0,178,55,,31,164.0,53.0,372
000000,3,,,2.0,5,,3.0,11.0,,1.0,,12.0,32.0,5,24.0,17,1,9.0,,3,16,5.0,14.0,7.0,,4.0,,1.0,15.0,,,33.0,5.0,,1,13,7,,14.0,10.0,17.0,24.0,3.0,3,9,20.0,7,,22.0,2
100001,2,5.0,1.0,,90,5.0,5.0,,5.0,,8.0,62.0,15.0,118,1.0,2,5,,5.0,29,38,5.0,1.0,2.0,3.0,2.0,7.0,3.0,3.0,9.0,9.0,,,5.0,7,3,36,4.0,70.0,41.0,9.0,51.0,10.0,33,31,63.0,8,19.0,,84
