states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
000000,,,,,2.0,,1.0,,6.0,,,9,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,2,,,11,,,
000001,,,,,3.0,,,,,,,17,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,10,,3.0,6,,,
000010,,,,,,1.0,,,46.0,,,28,,45.0,,,,,,,,,,,,1.0,1.0,,,,144.0,,,,,,1.0,,,,,,,9,,,45,,,
000100,,,,,1.0,1.0,,,2.0,,,35,3.0,22.0,,,,,,,,,,1.0,,5.0,,,,,,,,,,1.0,3.0,,,,,,,9,,7.0,1,,1.0,
000101,,,,,,,,,2.0,,,25,2.0,45.0,2.0,,,4.0,,,,,,3.0,,6.0,1.0,,,,33.0,,,,,5.0,4.0,,,,,,,26,,6.0,19,,,
001000,,,,,1.0,1.0,2.0,,,,,3,1.0,,2.0,,3.0,3.0,,,,,5.0,,,2.0,,,,,59.0,,,,,,2.0,,,,,,,8,,2.0,3,,,
001100,,,,,12.0,6.0,14.0,,399.0,,,413,34.0,37.0,10.0,,9.0,6.0,,,,,20.0,4.0,,29.0,13.0,,,,123.0,,,,,21.0,14.0,,,,,,,116,,2.0,171,,7.0,
010000,,,,,1.0,,1.0,,25.0,,,1,1.0,2.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,4.0,,,,,,,,2,,,44,,2.0,
010001,,,,,7.0,12.0,10.0,,12.0,,,1,2.0,27.0,10.0,,10.0,13.0,,,,,13.0,3.0,,4.0,10.0,,,,4.0,,,,,3.0,3.0,,,,,,,1,,4.0,8,,8.0,
010100,,,,,11.0,6.0,8.0,,259.0,,,112,35.0,20.0,6.0,,11.0,11.0,,,,,18.0,13.0,,48.0,5.0,,,,326.0,,,,,42.0,16.0,,,,,,,69,,4.0,51,,11.0,
010101,1024.0,1024.0,1024.0,1024.0,117.0,90.0,98.0,1024.0,273.0,1024.0,1024.0,238,88.0,737.0,78.0,1024.0,94.0,84.0,1024.0,1024.0,1024.0,1024.0,148.0,81.0,1024.0,80.0,87.0,1024.0,1024.0,1024.0,327.0,1024.0,1024.0,1024.0,1024.0,90.0,64.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,94,1024.0,199.0,623,1024.0,91.0,1024.0
100000,,,,,869.0,907.0,890.0,,,,,142,858.0,85.0,916.0,,896.0,903.0,,,,,815.0,918.0,,848.0,907.0,,,,1.0,,,,,858.0,916.0,,,,,,,678,,797.0,42,,904.0,
