states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
000000,,,5.0,,,,,3.0,,,3.0,1,,,,,1,,,,3,,,,,,,2.0,,,,,,,,,,7.0,1.0,1.0,,,,,2.0,,,,11.0,
000001,,,16.0,,,,,16.0,5.0,1.0,6.0,3,,,,7.0,2,,,,15,,,,,,,,,,,,,1.0,8.0,,,5.0,1.0,4.0,,,,,,,,,38.0,
000010,,,,,,,,2.0,36.0,1.0,2.0,35,,,,,1,,,,1,,,,,,,,,,,,2.0,,32.0,,,,,,,,,,1.0,,,,4.0,
000100,,,8.0,,,1.0,,4.0,36.0,7.0,,34,,2.0,,7.0,1,,,,6,,,,,,1.0,,,,,,,1.0,42.0,,,1.0,,11.0,,,,,,,,,,
000101,,,6.0,,,6.0,,39.0,23.0,16.0,11.0,9,,1.0,,10.0,1,,,,9,,,,,,2.0,1.0,,,,,2.0,1.0,12.0,,,21.0,,2.0,,,,,4.0,,,,47.0,
001000,,,,,,1.0,,3.0,4.0,3.0,5.0,3,,,,,2,,,,2,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,1.0,,,,,
001001,,,,,,3.0,,,29.0,4.0,3.0,29,,5.0,,,4,,,,2,,,,,,2.0,2.0,,,,,2.0,1.0,17.0,,,,1.0,11.0,,,,,4.0,,,,47.0,
001100,,,12.0,,,2.0,,3.0,2.0,9.0,4.0,3,,4.0,,9.0,9,,,,4,,,,,,3.0,3.0,,,,,4.0,7.0,7.0,,,2.0,13.0,1.0,,,,,2.0,,,,31.0,
001101,,,1.0,,,13.0,,15.0,527.0,54.0,66.0,509,,20.0,,2.0,10,,,,3,,,,,,10.0,15.0,,,,,9.0,6.0,535.0,,,6.0,16.0,35.0,,,,,19.0,,,,121.0,
010000,,,15.0,,,19.0,,11.0,9.0,25.0,44.0,14,,26.0,,14.0,25,,,,15,,,,,,17.0,20.0,,,,,15.0,20.0,16.0,,,10.0,16.0,19.0,,,,,13.0,,,,2.0,
010100,1024.0,1024.0,242.0,1024.0,1024.0,125.0,1024.0,369.0,296.0,193.0,296.0,325,1024.0,100.0,1024.0,208.0,141,1024.0,1024.0,1024.0,262,1024.0,1024.0,1024.0,1024.0,1024.0,105.0,128.0,1024.0,1024.0,1024.0,1024.0,108.0,109.0,295.0,1024.0,1024.0,264.0,164.0,164.0,1024.0,1024.0,1024.0,1024.0,115.0,1024.0,1024.0,1024.0,711.0,1024.0
100000,,,719.0,,,854.0,,559.0,57.0,711.0,584.0,59,,866.0,,767.0,827,,,,702,,,,,,884.0,853.0,,,,,882.0,878.0,57.0,,,707.0,812.0,776.0,,,,,863.0,,,,12.0,
