states,counts_p1_1of3,counts_p1_2of3,counts_p1_3of3
000001,184.0,107,114
000100,179.0,13,7
100000,171.0,40,41
001000,164.0,7,10
000010,163.0,260,258
010000,163.0,250,265
101100,,223,223
000000,,56,57
001100,,44,36
100100,,16,5
101000,,8,8
