states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101101,766.0,125.0,407,,549.0,370.0,486.0,541.0,275.0,478.0,103.0,494.0,319.0,42.0,434.0,116,140.0,285.0,296.0,474.0,364,303.0,29.0,292.0,489.0,104.0,293.0,499.0,264.0,101.0,298.0,258.0,53.0,292.0,316.0,317.0,300.0,321.0,353.0,302.0,270.0,330.0,495.0,81.0,252,58.0,369.0,154.0,532.0,4
000001,78.0,10.0,31,15.0,1.0,27.0,4.0,1.0,1.0,1.0,12.0,36.0,5.0,,12.0,14,30.0,3.0,2.0,28.0,13,1.0,2.0,,,9.0,1.0,,19.0,,,,1.0,2.0,8.0,9.0,2.0,2.0,28.0,1.0,,1.0,52.0,,25,,18.0,34.0,,40
000101,56.0,35.0,1,48.0,,,2.0,,11.0,2.0,6.0,1.0,25.0,37.0,5.0,9,25.0,,,17.0,18,,5.0,,16.0,28.0,11.0,11.0,8.0,162.0,,,28.0,,2.0,1.0,1.0,33.0,,,,30.0,2.0,2.0,14,18.0,1.0,227.0,,7
001001,29.0,73.0,7,44.0,9.0,3.0,,9.0,9.0,2.0,5.0,4.0,23.0,3.0,1.0,1,,18.0,18.0,6.0,80,14.0,1.0,12.0,9.0,6.0,36.0,11.0,64.0,30.0,15.0,11.0,2.0,11.0,15.0,3.0,19.0,21.0,4.0,18.0,10.0,26.0,4.0,46.0,143,28.0,7.0,3.0,4.0,40
000010,20.0,6.0,35,10.0,25.0,,17.0,24.0,20.0,21.0,18.0,24.0,1.0,6.0,10.0,22,2.0,50.0,62.0,52.0,16,32.0,3.0,40.0,9.0,59.0,,17.0,33.0,3.0,22.0,38.0,8.0,53.0,13.0,6.0,49.0,4.0,,40.0,46.0,3.0,22.0,42.0,51,2.0,2.0,1.0,18.0,68
001101,15.0,38.0,310,6.0,3.0,22.0,2.0,,24.0,2.0,85.0,253.0,94.0,47.0,11.0,64,60.0,10.0,3.0,291.0,55,9.0,175.0,12.0,53.0,109.0,163.0,36.0,113.0,115.0,9.0,13.0,127.0,12.0,12.0,20.0,4.0,92.0,19.0,11.0,8.0,81.0,229.0,130.0,33,21.0,12.0,9.0,,70
100001,14.0,4.0,13,,7.0,14.0,8.0,7.0,30.0,3.0,21.0,2.0,50.0,14.0,,23,5.0,32.0,41.0,6.0,24,33.0,,45.0,45.0,9.0,51.0,57.0,18.0,43.0,41.0,33.0,11.0,40.0,36.0,27.0,30.0,42.0,14.0,33.0,42.0,41.0,,,6,,16.0,2.0,9.0,10
001000,12.0,5.0,1,96.0,22.0,28.0,23.0,25.0,3.0,36.0,,2.0,85.0,,20.0,1,11.0,27.0,25.0,,15,32.0,,24.0,,30.0,96.0,,20.0,8.0,37.0,28.0,,24.0,18.0,26.0,28.0,91.0,25.0,36.0,24.0,78.0,4.0,,26,23.0,22.0,,20.0,14
100000,7.0,14.0,12,68.0,21.0,21.0,33.0,21.0,38.0,21.0,25.0,2.0,36.0,6.0,33.0,29,15.0,38.0,40.0,5.0,8,48.0,,43.0,,13.0,35.0,,11.0,31.0,49.0,47.0,,40.0,23.0,30.0,37.0,30.0,25.0,41.0,45.0,32.0,,1.0,6,,18.0,,18.0,25
101001,6.0,32.0,35,,8.0,3.0,3.0,2.0,2.0,,84.0,38.0,47.0,119.0,12.0,66,54.0,1.0,1.0,19.0,26,,199.0,,,42.0,39.0,,25.0,126.0,,,160.0,1.0,3.0,,1.0,61.0,,,1.0,61.0,44.0,4.0,11,13.0,2.0,102.0,13.0,70
