states,counts_p1,counts_p2,counts_p3
010000,250,1,0.0
000001,124,2,0.0
000000,59,8,0.0
001100,43,34,0.0
100000,39,20,19.0
001000,7,45,53.0
101000,8,16,59.0
100100,4,29,71.0
000100,16,52,72.0
000010,248,139,92.0
101100,226,678,658.0
