states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
100000,781.0,,801.0,,,,,,114,,,8.0,,229,,114.0,758.0,4,109.0,247,,652,213,124,,8,,,220,559.0,,,,749,798.0,31,,,,749.0,850.0,,,821.0,,,,,,,,806.0,791.0,4,106,,714,797.0,,,,,842.0,799.0,,,,,,112,584.0,,,,,,220.0,,,,,254,,112,,,,587.0,,106,3,834.0,839.0,,228,,,234,235,9.0
011001,151.0,1024.0,125.0,1024.0,1024.0,1024.0,1024.0,1024.0,500,1024.0,1024.0,966.0,1024.0,467,1024.0,676.0,157.0,982,669.0,472,1024.0,217,521,794,1024.0,966,1024.0,1024.0,505,366.0,1024.0,1024.0,1024.0,159,142.0,895,1024.0,1024.0,1024.0,170.0,103.0,1024.0,1024.0,108.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,143.0,143.0,984,804,1024.0,156,153.0,1024.0,1024.0,1024.0,1024.0,106.0,115.0,1024.0,1024.0,1024.0,1024.0,1024.0,791,349.0,1024.0,1024.0,1024.0,1024.0,1024.0,467.0,1024.0,1024.0,1024.0,1024.0,463,1024.0,807,1024.0,1024.0,1024.0,334.0,1024.0,817,547,114.0,100.0,1024.0,454,1024.0,1024.0,472,476,955.0
001001,27.0,,29.0,,,,,,35,,,2.0,,17,,8.0,11.0,2,4.0,20,,17,23,15,,3,,,16,1.0,,,,16,26.0,3,,,,24.0,17.0,,,20.0,,,,,,,,17.0,22.0,2,8,,14,16.0,,,,,22.0,26.0,,,,,,9,,,,,,,26.0,,,,,26,,4,,,,1.0,,6,33,17.0,18.0,,19,,,24,22,3.0
011000,22.0,,28.0,,,,,,49,,,10.0,,36,,69.0,45.0,6,75.0,30,,56,23,23,,6,,,25,11.0,,,,37,15.0,5,,,,34.0,14.0,,,32.0,,,,,,,,18.0,26.0,5,26,,43,18.0,,,,,19.0,35.0,,,,,,31,6.0,,,,,,63.0,,,,,31,,34,,,,10.0,,20,159,22.0,26.0,,46,,,58,31,8.0
010001,15.0,,24.0,,,,,,8,,,3.0,,24,,54.0,7.0,1,53.0,21,,10,21,23,,4,,,23,3.0,,,,11,18.0,3,,,,19.0,27.0,,,21.0,,,,,,,,17.0,22.0,1,23,,15,12.0,,,,,17.0,16.0,,,,,,26,,,,,,,17.0,,,,,20,,19,,,,1.0,,29,25,26.0,16.0,,18,,,15,22,2.0
000001,9.0,,,,,,,,14,,,1.0,,21,,29.0,18.0,1,34.0,25,,10,28,18,,1,,,28,29.0,,,,26,,1,,,,12.0,,,,,,,,,,,,11.0,5.0,2,23,,2,3.0,,,,,,2.0,,,,,,26,21.0,,,,,,14.0,,,,,25,,22,,,,28.0,,15,14,,1.0,,30,,,8,30,1.0
000100,8.0,,2.0,,,,,,1,,,9.0,,2,,21.0,12.0,5,32.0,6,,42,5,4,,2,,,4,45.0,,,,16,3.0,20,,,,9.0,8.0,,,4.0,,,,,,,,2.0,3.0,4,2,,18,12.0,,,,,6.0,15.0,,,,,,4,52.0,,,,,,,,,,,6,,3,,,,51.0,,2,23,5.0,8.0,,5,,,2,3,9.0
000000,7.0,,1.0,,,,,,7,,,2.0,,13,,,7.0,1,1.0,3,,6,7,4,,2,,,9,,,,,2,14.0,57,,,,1.0,,,,2.0,,,,,,,,8.0,10.0,1,6,,4,12.0,,,,,,5.0,,,,,,7,,,,,,,9.0,,,,,12,,5,,,,,,5,3,,2.0,,9,,,6,10,4.0
001000,2.0,,6.0,,,,,,17,,,1.0,,11,,12.0,7.0,1,9.0,8,,12,9,4,,1,,,9,2.0,,,,3,7.0,4,,,,2.0,3.0,,,8.0,,,,,,,,1.0,2.0,1,7,,10,,,,,,6.0,7.0,,,,,,2,,,,,,,15.0,,,,,9,,2,,,,1.0,,4,3,1.0,12.0,,13,,,17,12,
010000,2.0,,7.0,,,,,,19,,,,,5,,,2.0,1,,8,,1,8,10,,1,,,8,1.0,,,,3,1.0,2,,,,4.0,2.0,,,7.0,,,,,,,,1.0,,3,5,,6,,,,,,4.0,4.0,,,,,,14,3.0,,,,,,13.0,,,,,9,,10,,,,,,10,18,5.0,2.0,,11,,,11,7,2.0
