states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
110100,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,191.0,207,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,47,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,201,1024.0,1024.0,1024.0,42,1024.0,1024.0,1024.0,1024.0,71.0,1024.0,207,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,896.0,77.0,185.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,212,186.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,40,1024.0,1024.0,1024.0,1024.0,216,1024.0,1024.0,1024.0,1024.0,1024.0
110000,,,,,,,,,,,,,,,,599.0,580,,,,,,,158,,,,,,,,,,,,,,,,,,584,,,,174,,,,,832.0,,145,,,,,,,,,,,7.0,842.0,614.0,,,,,,,,,,,,,581,612.0,,,,,,,,,,172,,,,,128,,,,,
010010,,,,,,,,,,,,,,,,104.0,96,,,,,,,141,,,,,,,,,,,,,,,,,,84,,,,133,,,,,7.0,,228,,,,,,,,,,,6.0,6.0,87.0,,,,,,,,,,,,,80,100.0,,,,,,,,,,124,,,,,223,,,,,
100100,,,,,,,,,,,,,,,,53.0,52,,,,,,,194,,,,,,,,,,,,,,,,,,58,,,,196,,,,,7.0,,19,,,,,,,,,,,15.0,3.0,50.0,,,,,,,,,,,,,56,54.0,,,,,,,,,,204,,,,,18,,,,,
100000,,,,,,,,,,,,,,,,25.0,38,,,,,,,106,,,,,,,,,,,,,,,,,,31,,,,91,,,,,,,153,,,,,,,,,,,10.0,,29.0,,,,,,,,,,,,,26,22.0,,,,,,,,,,79,,,,,157,,,,,
001000,,,,,,,,,,,,,,,,16.0,18,,,,,,,105,,,,,,,,,,,,,,,,,,26,,,,107,,,,,11.0,,46,,,,,,,,,,,8.0,9.0,13.0,,,,,,,,,,,,,14,17.0,,,,,,,,,,101,,,,,34,,,,,
000100,,,,,,,,,,,,,,,,13.0,11,,,,,,,25,,,,,,,,,,,,,,,,,,13,,,,11,,,,,37.0,,6,,,,,,,,,,,12.0,25.0,18.0,,,,,,,,,,,,,16,9.0,,,,,,,,,,29,,,,,10,,,,,
010000,,,,,,,,,,,,,,,,10.0,7,,,,,,,17,,,,,,,,,,,,,,,,,,9,,,,21,,,,,33.0,,67,,,,,,,,,,,7.0,33.0,7.0,,,,,,,,,,,,,10,8.0,,,,,,,,,,24,,,,,64,,,,,
000000,,,,,,,,,,,,,,,,8.0,8,,,,,,,2,,,,,,,,,,,,,,,,,,8,,,,3,,,,,14.0,,12,,,,,,,,,,,33.0,13.0,12.0,,,,,,,,,,,,,17,10.0,,,,,,,,,,2,,,,,12,,,,,
010100,,,,,,,,,,,,,,,,3.0,2,,,,,,,65,,,,,,,,,,,,,,,,,,5,,,,60,,,,,12.0,,30,,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,3,4.0,,,,,,,,,,64,,,,,29,,,,,
000001,,,,,,,,,,,,,,,,2.0,3,,,,,,,14,,,,,,,,,,,,,,,,,,1,,,,23,,,,,,,74,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4,,,,,,,,,,,19,,,,,92,,,,,
000010,,,,,,,,,,,,,,,,,2,,,,,,,150,,,,,,,,,,,,,,,,,,4,,,,163,,,,,,,37,,,,,,,,,,,28.0,1.0,4.0,,,,,,,,,,,,,5,2.0,,,,,,,,,,166,,,,,41,,,,,
