states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
100010,1024.0,1024.0,1024.0,,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,407.0,396.0,1024.0,1024.0,273.0,1024.0,404.0,1024.0,428.0,1024.0,1024.0,1024.0,1024.0,1024.0,128.0,1024.0,1024.0,1024.0,1024.0,1024.0,11.0,521.0,301.0,290.0,1024.0,1024.0,1024.0,1024.0,14.0,,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,11.0,1024.0,1024.0,1024.0,1024.0,1024.0,,289.0,1024.0,1024.0,388.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,65.0,281.0,1024.0,276.0,,1024.0,1024.0,1024.0,1024.0,1024.0,443.0,1024.0,1024.0,10.0,1024.0,1024.0,1024.0,435.0,1024.0,1024.0,1024.0,274.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
010001,,,,1024.0,1024.0,,,,,,,,23.0,71.0,,,76.0,,24.0,,19.0,,,,,,80.0,,,,,,623.0,8.0,83.0,68.0,,,,,629.0,1024.0,,1024.0,,,,,,610.0,,,,,,1024.0,74.0,,,11.0,,,,1024.0,,,,,,,,,52.0,32.0,,85.0,1024.0,,,,,,18.0,,,619.0,,,,19.0,,,,93.0,,,,,,
011100,,,,,,,,,,,,,430.0,384.0,,,534.0,,475.0,,441.0,,,,,,642.0,,,,,,297.0,389.0,483.0,514.0,,,,,301.0,,,,,,,,,307.0,,,,,,,544.0,,,529.0,,,,,,,,,,,,,713.0,615.0,,526.0,,,,,,,443.0,,,302.0,,,,420.0,,,,511.0,,,,,,
010011,,,,,,,,,,,,,103.0,19.0,,,11.0,,76.0,,83.0,,,,,,53.0,,,,,,1.0,54.0,16.0,11.0,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,53.0,,,,,,,,,,,,,23.0,47.0,,14.0,,,,,,,75.0,,,,,,,85.0,,,,10.0,,,,,,
010000,,,,,,,,,,,,,19.0,11.0,,,8.0,,21.0,,33.0,,,,,,18.0,,,,,,1.0,15.0,4.0,4.0,,,,,1.0,,,,,,,,,1.0,,,,,,,5.0,,,23.0,,,,,,,,,,,,,21.0,18.0,,14.0,,,,,,,22.0,,,1.0,,,,41.0,,,,2.0,,,,,,
100000,,,,,,,,,,,,,10.0,86.0,,,75.0,,5.0,,4.0,,,,,,35.0,,,,,,37.0,26.0,84.0,85.0,,,,,35.0,,,,,,,,,28.0,,,,,,,63.0,,,9.0,,,,,,,,,,,,,119.0,5.0,,64.0,,,,,,,2.0,,,45.0,,,,4.0,,,,78.0,,,,,,
001100,,,,,,,,,,,,,8.0,9.0,,,2.0,,7.0,,7.0,,,,,,7.0,,,,,,,2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,4.0,2.0,,1.0,,,,,,,10.0,,,,,,,4.0,,,,2.0,,,,,,
000011,,,,,,,,,,,,,5.0,18.0,,,14.0,,2.0,,1.0,,,,,,9.0,,,,,,9.0,1.0,6.0,2.0,,,,,16.0,,,,,,,,,18.0,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,9.0,,9.0,,,,,,,3.0,,,9.0,,,,3.0,,,,15.0,,,,,,
010010,,,,,,,,,,,,,5.0,12.0,,,10.0,,7.0,,6.0,,,,,,25.0,,,,,,8.0,,10.0,12.0,,,,,5.0,,,,,,,,,9.0,,,,,,,5.0,,,2.0,,,,,,,,,,,,,14.0,10.0,,8.0,,,,,,,5.0,,,8.0,,,,8.0,,,,14.0,,,,,,
000001,,,,,,,,,,,,,4.0,2.0,,,7.0,,,,,,,,,,4.0,,,,,,2.0,,14.0,11.0,,,,,1.0,,,,,,,,,2.0,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,4.0,,7.0,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,
