states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
000000,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,
000001,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,8,,,,,,,,,,,,,,,,
000010,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,
000011,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,29,,,,,,,,,,,,,,,,
000100,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,37,,,,,,,,,,,,,,,,
001001,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,131,,,,,,,,,,,,,,1.0,,
010001,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,
010010,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,,,
010011,1024.0,,,,,1024.0,1024.0,,,,,,,1024.0,,,,,1024.0,1024.0,,,603,,1024.0,,,175.0,,,,,,580,,,,1024.0,,1024.0,,1024.0,168.0,,,1024.0,,153.0,,1024.0
100000,,1024.0,1024.0,1024.0,1024.0,,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,,,1024.0,1024.0,192,1024.0,,1024.0,1024.0,849.0,1024.0,1024.0,1024.0,1024.0,1024.0,221,1024.0,1024.0,1024.0,,1024.0,,1024.0,,856.0,1024.0,1024.0,,1024.0,870.0,1024.0,
