states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
111000,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,10.0,1024.0,1024.0,35.0,1024.0,1024.0,112,1024.0,1024.0,1024.0,638.0,1024.0,1024.0,1024.0,1024.0,67.0,1024.0,171.0,1024.0,269.0,305.0,10.0,1024.0,1024.0,1024.0,631.0,145.0,1.0,1024.0,1024.0,168.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
101110,,,,,,,,,,,,,903.0,,,431.0,,,418,,,,339.0,,,,,31.0,,243.0,,4.0,685.0,146.0,,,,361.0,242.0,258.0,,,95.0,,,,,,,
101010,,,,,,,,,,,,,29.0,,,112.0,,,33,,,,8.0,,,,,,,4.0,,1.0,5.0,360.0,,,,6.0,6.0,3.0,,,319.0,,,,,,,
101100,,,,,,,,,,,,,29.0,,,109.0,,,23,,,,4.0,,,,,,,5.0,,,2.0,365.0,,,,8.0,3.0,7.0,,,307.0,,,,,,,
001110,,,,,,,,,,,,,24.0,,,183.0,,,172,,,,2.0,,,,,210.0,,151.0,,186.0,3.0,19.0,,,,,169.0,525.0,,,16.0,,,,,,,
101000,,,,,,,,,,,,,19.0,,,24.0,,,26,,,,27.0,,,,,9.0,,67.0,,6.0,4.0,53.0,,,,11.0,81.0,19.0,,,34.0,,,,,,,
000001,,,,,,,,,,,,,4.0,,,,,,106,,,,1.0,,,,,502.0,,19.0,,294.0,5.0,,,,,,23.0,25.0,,,5.0,,,,,,,
000000,,,,,,,,,,,,,2.0,,,,,,3,,,,1.0,,,,,3.0,,18.0,,1.0,2.0,,,,,2.0,26.0,9.0,,,,,,,,,,
100110,,,,,,,,,,,,,2.0,,,,,,4,,,,2.0,,,,,95.0,,,,87.0,2.0,3.0,,,,,,1.0,,,2.0,,,,,,,
000110,,,,,,,,,,,,,1.0,,,,,,1,,,,,,,,,16.0,,,,45.0,2.0,,,,,,1.0,,,,,,,,,,,
001010,,,,,,,,,,,,,1.0,,,60.0,,,4,,,,,,,,,1.0,,,,1.0,,23.0,,,,1.0,3.0,21.0,,,29.0,,,,,,,
001100,,,,,,,,,,,,,,,,48.0,,,3,,,,,,,,,,,5.0,,1.0,,30.0,,,,,1.0,23.0,,,28.0,,,,,,,
001000,,,,,,,,,,,,,,,,10.0,,,16,,,,2.0,,,,,8.0,,41.0,,36.0,1.0,4.0,,,,,52.0,49.0,,,2.0,,,,,,,
011000,,,,,,,,,,,,,,,,9.0,,,64,,,,,,,,,4.0,,255.0,,27.0,2.0,,,,,1.0,226.0,46.0,,,15.0,,,,,,,
110000,,,,,,,,,,,,,,,,2.0,,,7,,,,,,,,,,,10.0,,45.0,3.0,,,,,,13.0,12.0,,,3.0,,,,,,,
100100,,,,,,,,,,,,,,,,1.0,,,7,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,
010000,,,,,,,,,,,,,,,,,,,12,,,,,,,,,28.0,,15.0,,13.0,,,,,,1.0,13.0,4.0,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,5,,,,,,,,,20.0,,14.0,,5.0,1.0,1.0,,,,1.0,11.0,,,,,,,,,,,
100010,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1.0,,,2.0,6.0,,,,,,5.0,,,1.0,,,,,,,
000100,,,,,,,,,,,,,,,,,,,2,,,,,,,,,16.0,,3.0,,1.0,,,,,,,3.0,5.0,,,,,,,,,,
000010,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14.0,,2.0,,2.0,,2.0,,,,1.0,6.0,9.0,,,,,,,,,,
