states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
110000,1024.0,1024.0,1024.0,1024.0,777.0,24,371.0,799.0,335.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,7,1,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,578.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,285,577.0,38.0,1024.0,1024.0,70.0,798.0,61.0,1024.0,543.0,1024.0
101100,,,,,231.0,25,495.0,212.0,564.0,,,,,,,,,,,,,64,21,,,,,,,,,,404.0,,,,,,,60,410.0,689.0,,,741.0,209.0,944.0,,455.0,
000010,,,,,6.0,639,,8.0,24.0,,,,,,,,,,,,,33,614,,,,,,,,,,9.0,,,,,,,465,10.0,26.0,,,8.0,7.0,4.0,,2.0,
000001,,,,,3.0,3,4.0,2.0,41.0,,,,,,,,,,,,,780,28,,,,,,,,,,1.0,,,,,,,43,,43.0,,,8.0,1.0,1.0,,1.0,
100000,,,,,3.0,129,,2.0,5.0,,,,,,,,,,,,,37,104,,,,,,,,,,2.0,,,,,,,96,4.0,4.0,,,,5.0,,,1.0,
001100,,,,,2.0,88,,,,,,,,,,,,,,,,8,96,,,,,,,,,,1.0,,,,,,,36,2.0,,,,,2.0,,,,
000100,,,,,1.0,10,9.0,1.0,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,17,,2.0,,,,,,,,
101000,,,,,1.0,7,121.0,,15.0,,,,,,,,,,,,,3,18,,,,,,,,,,17.0,,,,,,,1,7.0,179.0,,,184.0,,2.0,,22.0,
010000,,,,,,49,5.0,,6.0,,,,,,,,,,,,,62,45,,,,,,,,,,1.0,,,,,,,11,,1.0,,,2.0,,7.0,,,
001000,,,,,,37,7.0,,5.0,,,,,,,,,,,,,6,60,,,,,,,,,,,,,,,,,1,1.0,7.0,,,,1.0,,,,
000000,,,,,,11,,,1.0,,,,,,,,,,,,,3,7,,,,,,,,,,2.0,,,,,,,3,3.0,11.0,,,1.0,,3.0,,,
100100,,,,,,2,12.0,,28.0,,,,,,,,,,,,,16,10,,,,,,,,,,9.0,,,,,,,6,10.0,24.0,,,10.0,1.0,2.0,,,
