states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
111000,1024.0,1024.0,1024.0,1024.0,376.0,1024.0,1024.0,1024.0,101.0,1024.0,1024.0,1024.0,428.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,662.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,485.0,803.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
101101,,,,,640.0,,,,837.0,,,,435.0,,,,,,,,,,,,,307.0,,,,,,,,,,409.0,86.0,,,,,,,,,,,,,
101001,,,,,4.0,,,,17.0,,,,73.0,,,,,,,,,,,,,7.0,,,,,,,,,,3.0,17.0,,,,,,,,,,,,,
000000,,,,,2.0,,,,3.0,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
010000,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
100101,,,,,1.0,,,,1.0,,,,12.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,
001000,,,,,,,,,10.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
101100,,,,,,,,,9.0,,,,8.0,,,,,,,,,,,,,11.0,,,,,,,,,,48.0,20.0,,,,,,,,,,,,,
000010,,,,,,,,,7.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
110000,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,23.0,11.0,,,,,,,,,,,,,
100000,,,,,,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
001100,,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
011000,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,23.0,7.0,,,,,,,,,,,,,
000001,,,,,,,,,5.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
000100,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
100100,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,
101000,,,,,,,,,1.0,,,,17.0,,,,,,,,,,,,,20.0,,,,,,,,,,5.0,58.0,,,,,,,,,,,,,
000101,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,
001101,,,,,,,,,,,,,10.0,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,
001001,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,
