states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
111000,1024.0,1024.0,1024.0,1024.0,202.0,1024.0,1024.0,977.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,564.0,1024.0,1024.0,570.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,310.0,1024.0,1024.0,1024.0,1024.0,679.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,175.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
011101,,,,,627.0,,,15.0,,,,,,,,,,,434.0,,,438.0,,,,,,,346.0,,,,,276.0,,,,,,,,,386.0,,,,,,,
010101,,,,,46.0,,,,,,,,,,,,,,2.0,,,,,,,,,,11.0,,,,,,,,,,,,,,169.0,,,,,,,
011100,,,,,42.0,,,6.0,,,,,,,,,,,4.0,,,1.0,,,,,,,49.0,,,,,13.0,,,,,,,,,26.0,,,,,,,
011001,,,,,32.0,,,15.0,,,,,,,,,,,,,,1.0,,,,,,,205.0,,,,,20.0,,,,,,,,,97.0,,,,,,,
000010,,,,,19.0,,,1.0,,,,,,,,,,,14.0,,,4.0,,,,,,,5.0,,,,,4.0,,,,,,,,,3.0,,,,,,,
000000,,,,,15.0,,,,,,,,,,,,,,,,,6.0,,,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,
011000,,,,,14.0,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,37.0,,,,,3.0,,,,,,,,,10.0,,,,,,,
110000,,,,,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,,18.0,,,,,5.0,,,,,,,,,101.0,,,,,,,
000001,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
000100,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
010000,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,14.0,,,,,,,
001101,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,
000101,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
010001,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,30.0,,,,,,,
001000,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,
101000,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,2.0,,,,,,,,,1.0,,,,,,,
010100,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,,,4.0,,,,,,,
001100,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,9.0,,,,,,,,,1.0,,,,,,,
100000,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,
001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,,1.0,,,,,,,
