states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
101100,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,159,211.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,252.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,161,165,,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,244.0,,,1024.0,,1024.0,1024.0,1024.0
000010,,,544.0,,,,,625,4.0,,,,,,,,,,,,,4.0,,,,1024.0,,,,,,,629,642,1024.0,,1024.0,,,,,,,1024.0,1024.0,,1024.0,,,
010000,,,400.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,
001100,,,32.0,,,,,31,14.0,,,,,,,,,,,,,10.0,,,,,,,,,,,31,16,,,,,,,,,14.0,,,,,,,
100000,,,30.0,,,,,83,40.0,,,,,,,,,,,,,33.0,,,,,,,,,,,79,67,,,,,,,,,34.0,,,,,,,
000001,,,8.0,,,,,26,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,25,26,,,,,,,,,3.0,,,,,,,
100100,,,6.0,,,,,42,367.0,,,,,,,,,,,,,331.0,,,,,,,,,,,35,38,,,,,,,,,343.0,,,,,,,
101000,,,4.0,,,,,35,358.0,,,,,,,,,,,,,358.0,,,,,,,,,,,41,41,,,,,,,,,355.0,,,,,,,
000000,,,,,,,,8,12.0,,,,,,,,,,,,,13.0,,,,,,,,,,,8,9,,,,,,,,,13.0,,,,,,,
000100,,,,,,,,6,10.0,,,,,,,,,,,,,7.0,,,,,,,,,,,7,6,,,,,,,,,9.0,,,,,,,
001000,,,,,,,,6,6.0,,,,,,,,,,,,,13.0,,,,,,,,,,,6,10,,,,,,,,,9.0,,,,,,,
