states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
010001,1018.0,,,,,1024.0,,,,1024.0,,1024.0,,,,4,,,,982.0,,10.0,,12.0,,,,,,,,,,648.0,986.0,,,,,,672.0,,1017.0,,,,1024.0,3.0,,
100000,6.0,,,,,,,,,,,,,,,8,,,,38.0,,5.0,,15.0,,,,,,,,,,74.0,35.0,,,,,,69.0,,7.0,,,,,14.0,,
100010,,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,,1024.0,,1024.0,1024.0,1024.0,436,1024.0,1024.0,1024.0,,1024.0,466.0,1024.0,457.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,23.0,,1024.0,1024.0,1024.0,1024.0,1024.0,22.0,1024.0,,1024.0,1024.0,1024.0,,454.0,1024.0,1024.0
011100,,,,,,,,,,,,,,,,424,,,,,,408.0,,408.0,,,,,,,,,,232.0,,,,,,,225.0,,,,,,,415.0,,
010011,,,,,,,,,,,,,,,,85,,,,1.0,,90.0,,82.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,87.0,,
010000,,,,,,,,,,,,,,,,30,,,,,,24.0,,26.0,,,,,,,,,,9.0,,,,,,,3.0,,,,,,,31.0,,
001100,,,,,,,,,,,,,,,,14,,,,,,5.0,,9.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,11.0,,
000011,,,,,,,,,,,,,,,,7,,,,,,5.0,,4.0,,,,,,,,,,5.0,,,,,,,9.0,,,,,,,3.0,,
010010,,,,,,,,,,,,,,,,4,,,,,,3.0,,3.0,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,
000010,,,,,,,,,,,,,,,,3,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
010100,,,,,,,,,,,,,,,,3,,,,1.0,,5.0,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,,,,,1.0,,
001000,,,,,,,,,,,,,,,,2,,,,,,1.0,,3.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,2.0,,
000000,,,,,,,,,,,,,,,,1,,,,1.0,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,3.0,,,,,,,1.0,,
000001,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.0,,,,,,,9.0,,,,,,,,,
000100,,,,,,,,,,,,,,,,1,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,1.0,,
011000,,,,,,,,,,,,,,,,1,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
