states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
011000,1024.0,1024.0,1024.0,1024.0,177.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,237,166,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,677,984.0,1024.0,1024.0,249.0,974.0,1024.0,1024.0,1024.0,1024.0,1024.0,875.0,1024.0,1024.0,1024.0,268.0,1024.0,1024.0,1024.0,976.0,1024.0,353,1024.0
100000,,,,,562.0,,,,,,,,,,,,,453,576,,,,,,,,,35,7.0,,,455.0,13.0,,,,,,18.0,,,,443.0,,,,6.0,,505,
001000,,,,,105.0,,,,,,,,,,,,,89,112,,,,,,,,,21,1.0,,,96.0,2.0,,,,,,,,,,92.0,,,,1.0,,20,
010000,,,,,89.0,,,,,,,,,,,,,88,105,,,,,,,,,27,1.0,,,97.0,,,,,,,,,,,82.0,,,,1.0,,26,
000010,,,,,56.0,,,,,,,,,,,,,38,12,,,,,,,,,172,,,,86.0,,,,,,,55.0,,,,103.0,,,,,,60,
000000,,,,,24.0,,,,,,,,,,,,,40,5,,,,,,,,,1,26.0,,,35.0,27.0,,,,,,34.0,,,,26.0,,,,30.0,,21,
000001,,,,,11.0,,,,,,,,,,,,,16,7,,,,,,,,,37,,,,6.0,,,,,,,20.0,,,,10.0,,,,,,38,
000100,,,,,,,,,,,,,,,,,,63,41,,,,,,,,,54,5.0,,,,8.0,,,,,,22.0,,,,,,,,10.0,,1,
