states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
001100,386.0,,,,,,,,,,,,539.0,,,,,,,429.0,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,417.0
000100,201.0,,,,,,,,,,,,333.0,,,,,,,202.0,,,,,,,,,,,,,,211.0,,,,,,,,,,,,,,,,216.0
010011,134.0,,,,,,,,,,,,12.0,,,,,,,109.0,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,113.0
110011,115.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,5.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,91.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,84.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,88.0
110010,37.0,,,,,,,,,,,,12.0,,,,,,,41.0,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,34.0
010010,36.0,,,,,,,,,,,,14.0,,,,,,,38.0,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,41.0
110001,30.0,,,,,,,,,,,,11.0,,,,,,,33.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,30.0
100011,28.0,,,,,,,,,,,,3.0,,,,,,,20.0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,33.0
110000,23.0,,,,,,,,,,,,32.0,,,,,,,21.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,15.0
101001,11.0,,,,,,,,,,,,7.0,,,,,,,9.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,7.0
010001,4.0,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,4.0
100001,4.0,,,,,,,,,,,,12.0,,,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,3.0
000011,3.0,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,7.0
101000,3.0,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0
001001,2.0,,,,,,,,,,,,18.0,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0
001000,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,3.0
010000,2.0,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
100010,2.0,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0
000001,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0
000000,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
