states,counts_p1,counts_p2,counts_p3
100100,5,0.0,0.0
101000,7,0.0,0.0
100000,40,44.0,4.0
001100,40,12.0,5.0
000000,54,0.0,10.0
000100,12,1.0,23.0
001000,8,0.0,41.0
010000,231,329.0,92.0
000010,269,175.0,175.0
000001,122,177.0,199.0
101100,236,286.0,475.0
