states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
000000,,,,,,,,,4.0,,,,,2.0,1.0,6.0,2.0,,,,,,16.0,,17.0,,,,1,7.0,,,,,1.0,3.0,2.0,,24.0,10.0,1.0,,1.0,,,4.0,,,,1
000001,,,,,2.0,,2.0,,33.0,,,,10.0,,8.0,,50.0,,2.0,,,,5.0,,3.0,,1.0,,11,,,1.0,,,49.0,56.0,,,101.0,25.0,,,13.0,,9.0,47.0,,,,14
000010,,,314.0,310.0,324.0,299.0,3.0,294.0,1.0,,,,3.0,73.0,1.0,482.0,42.0,,318.0,311.0,,,,,,,1.0,,108,488.0,,323.0,,,45.0,36.0,88.0,,52.0,4.0,105.0,314.0,3.0,,7.0,38.0,,312.0,,95
000100,,,,,,,,,37.0,,,,47.0,598.0,51.0,351.0,202.0,,,,,1.0,87.0,,88.0,,,,105,337.0,,1.0,,,215.0,207.0,568.0,,,38.0,571.0,,49.0,,30.0,187.0,,,1.0,103
001000,,,1.0,2.0,5.0,,,,,,2.0,,8.0,6.0,3.0,7.0,1.0,,,,,2.0,8.0,,6.0,,,,12,4.0,,2.0,,,2.0,1.0,5.0,,3.0,,7.0,,8.0,,4.0,4.0,,1.0,3.0,9
001001,,,7.0,3.0,9.0,23.0,1.0,15.0,,,4.0,,,9.0,,38.0,12.0,,10.0,16.0,,7.0,68.0,,65.0,,2.0,,42,26.0,,6.0,,,18.0,16.0,4.0,,,16.0,6.0,8.0,,,,30.0,,15.0,7.0,44
010000,,,3.0,3.0,1.0,1.0,,5.0,5.0,,,,1.0,17.0,1.0,37.0,523.0,,4.0,2.0,,,141.0,,170.0,,,,32,40.0,,4.0,,,480.0,510.0,15.0,,231.0,1.0,16.0,1.0,,,,506.0,,1.0,1.0,34
011000,,,543.0,553.0,523.0,549.0,5.0,548.0,453.0,,79.0,,844.0,,852.0,2.0,,,528.0,546.0,,48.0,570.0,,541.0,,9.0,,545,2.0,,553.0,,,,,3.0,,522.0,459.0,3.0,541.0,858.0,,866.0,1.0,,549.0,47.0,559
100000,,,,,,,,,3.0,,,,,10.0,,23.0,184.0,,,,,,2.0,,,,,,25,21.0,,,,,204.0,184.0,11.0,,7.0,6.0,16.0,,,,,198.0,,,1.0,14
100001,,,15.0,5.0,11.0,9.0,,8.0,13.0,,17.0,,24.0,203.0,21.0,38.0,5.0,,9.0,10.0,,11.0,32.0,,26.0,,,,13,50.0,,6.0,,,7.0,7.0,213.0,,23.0,4.0,199.0,13.0,14.0,,16.0,6.0,,7.0,10.0,16
101000,,,,1.0,,2.0,,,10.0,,14.0,,77.0,52.0,78.0,31.0,,,1.0,,,8.0,,,1.0,,,,42,43.0,,1.0,,,,1.0,56.0,,14.0,11.0,39.0,,69.0,,80.0,,,1.0,17.0,43
101001,1024.0,1024.0,141.0,147.0,149.0,141.0,1013.0,154.0,465.0,1024.0,908.0,1024.0,10.0,54.0,8.0,9.0,3.0,1024.0,152.0,139.0,1024.0,947.0,95.0,1024.0,107.0,1024.0,1011.0,1024.0,88,6.0,1024.0,127.0,1024.0,1024.0,3.0,3.0,59.0,1024.0,47.0,450.0,61.0,147.0,9.0,1024.0,12.0,3.0,1024.0,138.0,937.0,92
