states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
010010,404.0,497.0,227,369.0,388.0,449.0,437.0,9.0,27.0,9.0,86.0,531.0,328.0,455.0,523.0,449.0,409.0,413.0,242.0,457,370.0,375.0,361.0,215,400,308.0,400.0,393.0,406.0,387.0,460.0,272.0,288.0,25.0,486.0,323.0,481.0,470.0,373.0,101.0,379.0,323.0,503.0,467.0,12.0,139.0,524.0,430.0,303.0,413.0
101101,281.0,271.0,22,2.0,278.0,270.0,366.0,442.0,187.0,437.0,359.0,327.0,372.0,22.0,314.0,11.0,6.0,419.0,21.0,1,448.0,339.0,348.0,239,8,,279.0,433.0,8.0,,30.0,31.0,23.0,197.0,351.0,,253.0,311.0,,183.0,323.0,,269.0,47.0,276.0,114.0,259.0,389.0,21.0,260.0
100000,52.0,21.0,73,13.0,49.0,30.0,22.0,1.0,48.0,,31.0,24.0,,1.0,19.0,5.0,6.0,33.0,,19,38.0,,1.0,123,9,213.0,64.0,33.0,39.0,237.0,6.0,131.0,117.0,54.0,22.0,128.0,28.0,4.0,247.0,,53.0,285.0,23.0,7.0,4.0,31.0,23.0,35.0,121.0,67.0
000010,49.0,24.0,16,10.0,58.0,38.0,1.0,15.0,133.0,34.0,68.0,1.0,11.0,,,101.0,22.0,28.0,,2,19.0,12.0,14.0,4,17,20.0,41.0,17.0,1.0,19.0,5.0,1.0,6.0,141.0,1.0,,21.0,31.0,19.0,11.0,50.0,,11.0,1.0,40.0,58.0,8.0,1.0,,38.0
001101,39.0,16.0,19,23.0,16.0,27.0,21.0,287.0,155.0,292.0,1.0,32.0,30.0,19.0,25.0,9.0,20.0,5.0,98.0,19,10.0,31.0,27.0,1,38,30.0,34.0,5.0,32.0,54.0,38.0,10.0,21.0,143.0,23.0,2.0,18.0,22.0,49.0,185.0,18.0,37.0,23.0,26.0,338.0,132.0,8.0,18.0,17.0,28.0
001000,36.0,3.0,44,,39.0,5.0,43.0,14.0,20.0,18.0,14.0,12.0,5.0,23.0,21.0,6.0,6.0,24.0,1.0,5,27.0,3.0,5.0,5,5,9.0,40.0,20.0,36.0,32.0,17.0,15.0,26.0,23.0,19.0,2.0,7.0,10.0,35.0,65.0,17.0,17.0,9.0,18.0,17.0,1.0,10.0,29.0,22.0,36.0
000110,34.0,80.0,12,35.0,55.0,56.0,11.0,,1.0,,46.0,6.0,60.0,49.0,4.0,24.0,20.0,25.0,1.0,13,18.0,50.0,62.0,109,42,25.0,42.0,26.0,,16.0,41.0,57.0,55.0,,13.0,4.0,80.0,,30.0,2.0,53.0,7.0,77.0,40.0,1.0,9.0,74.0,16.0,69.0,57.0
100001,28.0,26.0,25,16.0,32.0,41.0,4.0,7.0,,4.0,8.0,19.0,46.0,,25.0,8.0,,12.0,,3,8.0,40.0,39.0,52,2,21.0,24.0,8.0,74.0,,2.0,30.0,31.0,1.0,18.0,10.0,32.0,1.0,3.0,44.0,24.0,8.0,24.0,1.0,12.0,18.0,29.0,2.0,26.0,28.0
100100,23.0,34.0,94,2.0,39.0,35.0,,5.0,16.0,5.0,42.0,16.0,8.0,19.0,17.0,,16.0,10.0,34.0,20,17.0,18.0,13.0,6,35,1.0,18.0,15.0,34.0,7.0,22.0,6.0,11.0,17.0,25.0,67.0,49.0,9.0,4.0,4.0,33.0,13.0,36.0,16.0,4.0,1.0,40.0,,8.0,24.0
101000,22.0,11.0,29,12.0,30.0,18.0,28.0,7.0,200.0,9.0,11.0,27.0,,55.0,26.0,129.0,18.0,35.0,,14,48.0,2.0,1.0,45,11,56.0,26.0,54.0,27.0,2.0,64.0,311.0,298.0,172.0,36.0,49.0,14.0,12.0,2.0,229.0,33.0,10.0,13.0,58.0,57.0,4.0,6.0,16.0,286.0,15.0
000100,19.0,3.0,14,4.0,12.0,4.0,23.0,26.0,,23.0,5.0,8.0,34.0,1.0,12.0,1.0,2.0,,,7,,12.0,15.0,8,1,32.0,19.0,,4.0,55.0,,,,,5.0,8.0,3.0,29.0,58.0,34.0,10.0,79.0,2.0,2.0,49.0,4.0,1.0,30.0,1.0,20.0
000000,10.0,,6,12.0,1.0,,5.0,8.0,16.0,8.0,7.0,,6.0,,1.0,,17.0,,24.0,19,,12.0,9.0,63,13,14.0,9.0,,2.0,14.0,1.0,13.0,10.0,12.0,,,,33.0,18.0,6.0,2.0,14.0,,2.0,4.0,146.0,,1.0,5.0,12.0
001001,7.0,8.0,35,,9.0,9.0,1.0,11.0,4.0,8.0,127.0,3.0,13.0,22.0,3.0,10.0,20.0,3.0,1.0,6,5.0,17.0,17.0,74,7,104.0,8.0,3.0,24.0,61.0,18.0,6.0,11.0,3.0,3.0,61.0,10.0,5.0,55.0,54.0,9.0,99.0,10.0,19.0,15.0,19.0,11.0,,3.0,7.0
101100,6.0,1.0,60,55.0,1.0,,4.0,3.0,58.0,1.0,35.0,,,260.0,,8.0,228.0,6.0,124.0,263,,,,4,265,2.0,6.0,3.0,88.0,2.0,216.0,21.0,22.0,66.0,,30.0,,18.0,1.0,9.0,,1.0,,233.0,20.0,49.0,1.0,1.0,10.0,4.0
001100,4.0,11.0,114,14.0,13.0,11.0,1.0,4.0,13.0,5.0,4.0,4.0,,,4.0,3.0,87.0,2.0,33.0,49,9.0,,,3,66,48.0,6.0,5.0,,118.0,2.0,17.0,17.0,14.0,8.0,177.0,12.0,12.0,94.0,1.0,12.0,101.0,11.0,1.0,2.0,,10.0,1.0,19.0,10.0
100101,4.0,,41,156.0,,5.0,5.0,2.0,26.0,,,,37.0,,3.0,111.0,20.0,1.0,103.0,36,,50.0,43.0,11,20,,1.0,,47.0,,5.0,57.0,43.0,40.0,,15.0,1.0,,,,1.0,,,5.0,,31.0,1.0,6.0,56.0,
101001,4.0,1.0,51,112.0,,3.0,3.0,50.0,7.0,53.0,,,18.0,5.0,2.0,1.0,9.0,4.0,180.0,10,3.0,29.0,22.0,7,5,55.0,6.0,1.0,52.0,,6.0,15.0,13.0,3.0,1.0,25.0,4.0,1.0,,42.0,1.0,,1.0,4.0,62.0,128.0,1.0,5.0,23.0,5.0
