states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,2.0,2.0,,1.0,,,,,,2.0,,,4.0,,,,,,,,,1.0,,,,,,,,,8.0,,,,,,,,3.0,,,4.0,,,,,,,
000001,,8.0,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
000010,3.0,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,
000011,,4.0,,,,,,,,,14.0,,,16.0,,,,,,,,,10.0,,,,,,,,,1.0,,,,,6.0,,,21.0,,,1.0,,,,,,,
000100,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
001000,,4.0,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
001100,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,
010000,2.0,,,,,,,,,,4.0,,,7.0,,,,,,,,,28.0,,,,,,,,,1.0,,,,,41.0,,,2.0,,,3.0,,,,,,,
010001,114.0,676.0,972.0,,974.0,,,,,,580.0,,,514.0,,,,,,,,,11.0,,,,,,,,,122.0,,,,,5.0,,,583.0,,,105.0,,,,,,,
010010,3.0,4.0,,,,,,,,,8.0,,,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,7.0,,,1.0,,,,,,,
010011,46.0,5.0,,,,,,,,,11.0,,,4.0,,,,,,,,,75.0,,,,,,,,,40.0,,,,,68.0,,,8.0,,,46.0,,,,,,,
010100,,5.0,,,2.0,,,,,,7.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,3.0,,,1.0,,,,,,,
011000,,2.0,1.0,,3.0,,,,,,3.0,,,5.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,
011100,4.0,186.0,,,,,,,,,253.0,,,323.0,,,,,,,,,401.0,,,,,,,,,4.0,,,,,427.0,,,267.0,,,3.0,,,,,,,
100000,637.0,110.0,49.0,,44.0,,,,,,98.0,,,85.0,,,,,,,,,6.0,,,,,,,,,633.0,,,,,6.0,,,84.0,,,654.0,,,,,,,
100010,215.0,18.0,,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,41.0,1024.0,1024.0,41.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,473.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,211.0,1024.0,1024.0,1024.0,1024.0,452.0,1024.0,1024.0,36.0,1024.0,1024.0,204.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
