states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,2.0,,,,,,,,69.0,,4.0,,,,,,13.0,,,,,,,14.0,,,,,,,,,,,,35,,4.0,,5.0,,,,,,,3.0,,
000001,,,,,,,,,,,,1.0,,,,,,8.0,,,,,,,39.0,,,,,,,,,,,,17,,,,32.0,,,,,,,,,
000010,,9.0,,,,,,,,152.0,,,,,,,,3.0,,,,,,,52.0,,,,,,,,,,,,29,,1.0,,3.0,,,,,,,,,
000100,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,
001000,,,,,,,,,,89.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,74,,,,1.0,,,,,,,,,
010000,,1.0,,,,,,,,81.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,84,,,,2.0,,,,,,,,,
011000,1024.0,1008.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,275.0,1024.0,1016.0,1024.0,1024.0,1024.0,1024.0,1024.0,984.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,368.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,208,1024.0,1014.0,1024.0,976.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1015.0,1024.0,1024.0
100000,,4.0,,,,,,,,358.0,,3.0,,,,,,8.0,,,,,,,509.0,,,,,,,,,,,,506,,5.0,,5.0,,,,,,,6.0,,
