states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,10.0,,,,13,,,,,15.0,,,,9,,,,1.0,7.0,,,,25.0,,,,,,,,,,12.0,,8.0,,,,,,,,,,,,,9.0
000001,,,1.0,,,,1,,,,,,,3.0,,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
000010,,,,,,,1,,,,,1.0,,130.0,,5,,,,3.0,11.0,,,,8.0,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,4.0
000100,,,3.0,,,,19,,,,,17.0,,,,14,,,,10.0,1.0,,,,4.0,,,,,,,,,,24.0,,4.0,,,,,7.0,,,,,,,,2.0
001000,,,13.0,,,,21,,,,,22.0,,5.0,,1,,,,78.0,14.0,,,,20.0,,,,,,,,,,13.0,,18.0,,,,,81.0,,,,,,,,18.0
010000,,,10.0,,,,17,,,,,14.0,,1.0,,28,,,,,29.0,,,,23.0,,,,,,,,,,15.0,,10.0,,,,,,,,,,,,,10.0
010010,,,51.0,,,,79,,,,,77.0,,34.0,,8,,,,10.0,61.0,,,,72.0,,,,,,,,,,57.0,,46.0,,,,,6.0,,,,,,,,51.0
010100,,,3.0,,,,3,,,,,1.0,,4.0,,4,,,,13.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,16.0,,,,,,,,
100000,,,6.0,,,,23,,,,,23.0,,285.0,,57,,,,15.0,42.0,,,,35.0,,,,,,,,,,41.0,,6.0,,,,,24.0,,,,,,,,31.0
100100,,,5.0,,,,30,,,,,36.0,,187.0,,1,,,,630.0,15.0,,,,18.0,,,,,,,,,,32.0,,6.0,,,,,596.0,,,,,,,,13.0
110000,,,660.0,,,,628,,,,,612.0,,238.0,,593,,,,100.0,477.0,,,,524.0,,,,,,,,,,635.0,,662.0,,,,,106.0,,,,,,,,640.0
110100,1024.0,1024.0,262.0,1024.0,1024.0,1024.0,189,1024.0,1024.0,1024.0,1024.0,206.0,1024.0,137.0,1024.0,303,1024.0,1024.0,1024.0,163.0,367.0,1024.0,1024.0,1024.0,295.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,190.0,1024.0,261.0,1024.0,1024.0,1024.0,1024.0,183.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,245.0
