states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,5,4.0,10.0,,,,,,1,7.0,,1,,,21.0,9,2.0,,,,,,4,,,,3,,34.0,25.0,,,,,,,27.0,,,43,,,,,,,,,
000001,,24,,4.0,,,,,,4,4.0,,22,,,20.0,1,1.0,,,,,,18,,9.0,,3,,,,18.0,,,,,,,,,8,,,,,,,,,
000010,,627,33.0,3.0,,,,,,32,,,623,,,248.0,1,28.0,,,,,,567,,1.0,,185,,496.0,518.0,48.0,,,,,,522.0,,,301,,,,,,,,,
000100,,9,,12.0,,,,,,7,12.0,,1,,,,10,,,,,,,4,,,,14,,1.0,,8.0,,,,,,,,,15,,,,,,,,,
001000,,5,1.0,9.0,,,,,,9,11.0,,2,,,,11,1.0,,,,,,4,,,,9,,1.0,,7.0,,,,,,1.0,,,19,,,,,,,,,
001100,,36,13.0,13.0,,,,,,26,13.0,,25,,,125.0,14,7.0,,,,,,64,,,,54,,183.0,167.0,1.0,,,,,,165.0,,,71,,,,,,,,,
010000,,2,11.0,,,,,,,19,,,2,,,107.0,1,13.0,,,,,,26,,2.0,,458,,130.0,135.0,19.0,,,,,,132.0,,,97,,,,,,,,,
100000,,95,1.0,36.0,,,,,,29,30.0,,75,,,68.0,47,,,,,,,112,,12.0,,140,,6.0,36.0,51.0,,,,,,36.0,,,18,,,,,,,,,
100100,,49,10.0,354.0,,,,,,262,361.0,,49,,,,362,11.0,,,,,,3,,,,18,,8.0,6.0,220.0,,,,,,2.0,,,24,,,,,,,,,
101000,,37,6.0,364.0,,,,,,226,362.0,,26,,,1.0,363,9.0,,,,,,4,,,,24,,3.0,9.0,215.0,,,,,,9.0,,,26,,,,,,,,,
101100,1024.0,135,945.0,219.0,1024.0,1024.0,1024.0,1024.0,1024.0,409,224.0,1024.0,198,1024.0,1024.0,434.0,205,952.0,1024.0,1024.0,1024.0,1024.0,1024.0,218,1024.0,1000.0,1024.0,116,1024.0,162.0,128.0,437.0,1024.0,1024.0,1024.0,1024.0,1024.0,130.0,1024.0,1024.0,402,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
