states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
000000,,2.0,1.0,13,,,,,4.0,,,,11.0,,4,,,2,1,,,,,,,,,,28.0,,,,,,,,,,,,1.0,,13,,,,10,11.0,3.0,,,,,,,,,,,,,,,4.0,,,,,,,1,,2.0,,5.0,,,,,,17.0,,9.0,,,8.0,22.0,1.0,1.0,,,,,,,,2.0,,,
000001,,,,1,,,,,25.0,,,,19.0,,80,1.0,,94,7,,,,,,44.0,,,,1.0,,,,,,,18.0,,,37.0,,1.0,,3,,,,23,7.0,9.0,,,,,,,,,,,,20.0,,,2.0,,,,,,,18,,,,41.0,26.0,,43.0,,35.0,4.0,,13.0,,,2.0,5.0,,3.0,,,,,,,,,,,
000010,,6.0,6.0,18,,44.0,,,146.0,,,,142.0,,54,3.0,,8,276,,,,,,112.0,,,,4.0,,,,,,,201.0,,,26.0,,2.0,,1,,,,183,,106.0,,,,,,,,,,,,106.0,,,3.0,,,,,,,24,,6.0,,138.0,33.0,,109.0,,19.0,5.0,,141.0,,,28.0,4.0,,7.0,,,,,,,,5.0,,,
000100,,5.0,7.0,5,,44.0,,,10.0,,,,8.0,,116,2.0,,43,8,,,,,,13.0,,,,254.0,,,,,,,20.0,,,13.0,,1.0,,36,,,,20,41.0,14.0,,,,,,,,,,,,747.0,,,8.0,,,,,,,17,,5.0,,7.0,10.0,,63.0,,13.0,263.0,,7.0,,,6.0,244.0,,4.0,,,,,,,,7.0,,,
001000,,,,7,,1.0,,,4.0,,,,1.0,,4,,,10,1,,,,,,6.0,,,,13.0,,,,,,,4.0,,,1.0,,,,17,,,,3,9.0,,,,,,,,,,,,,15.0,,,,,,,,,,1,,,,5.0,,,2.0,,1.0,8.0,,3.0,,,2.0,3.0,,,,,,,,,,,,,
001001,,615.0,628.0,765,,607.0,,,419.0,10.0,,,438.0,,392,637.0,,698,333,,16.0,,,,410.0,,,,413.0,,,,,15.0,,355.0,,,467.0,,608.0,,498,,,,383,530.0,354.0,,,,,,,,,,,,128.0,,,636.0,,,,,,,485,,623.0,,395.0,459.0,,301.0,,490.0,421.0,,448.0,,,797.0,432.0,16.0,625.0,,,,,,,,604.0,,,
010000,,1.0,2.0,1,,5.0,,,,,,,,,17,2.0,,6,7,,,,,,1.0,,,,2.0,,,,,,,,,,5.0,,1.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,,,,,,,,3,,3.0,,,3.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,
010001,,19.0,23.0,6,,23.0,,,36.0,,,,18.0,,89,23.0,,76,14,,,,,,31.0,,,,,,,,,,,49.0,,,11.0,,20.0,,99,,,,37,109.0,34.0,,,,,,,,,,,,,,,16.0,,,,,,,12,,21.0,,47.0,6.0,,9.0,,10.0,,,35.0,,,9.0,,,20.0,,,,,,,,22.0,,,
100000,,2.0,1.0,1,,,,,4.0,,,,2.0,,12,2.0,,3,2,,,,,,1.0,,,,1.0,,,,,,,,,,5.0,,2.0,,5,,,,3,8.0,,,,,,,,,,,,,1.0,,,5.0,,,,,,,3,,4.0,,2.0,6.0,,1.0,,4.0,2.0,,,,,,1.0,,2.0,,,,,,,,4.0,,,
100001,,170.0,163.0,17,,284.0,,,140.0,,,,143.0,,155,162.0,,4,201,,,,,,95.0,,,,287.0,,,,,,,36.0,,,170.0,,180.0,,232,,,,69,201.0,109.0,,,,,,,,,,,,7.0,,,132.0,,,,,,,142,,155.0,,80.0,161.0,,200.0,,152.0,277.0,,136.0,,,11.0,295.0,1.0,152.0,,,,,,,,165.0,,,
