states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
000000,,,,,,,,7.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,3.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,
000001,,,,,,,,10.0,,,,,,,10.0,7.0,,,,,,,,,,,,,,3.0,,,34.0,,17.0,4.0,,,,,,,,,,,,,,,,,5.0,,,12.0,,,,,,,,,,,,,12.0,,,,11.0,,9.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,
000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,11.0,,8.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,4.0,,,,,,,1.0,
000100,,,,,,,,,,,,,,,8.0,12.0,,,,,,1.0,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,9.0,,,,10.0,,9.0,,,,,,,,,,,,,,12.0,,,1.0,,,,,,,1.0,
000101,,,,,2.0,,,23.0,,,,,,,5.0,13.0,,,,,,2.0,1.0,,,,1.0,4.0,2.0,1.0,,,53.0,,11.0,4.0,,,,,,,,,,,1.0,,,,1.0,,,2.0,1.0,9.0,4.0,,,,,,,,,,,,5.0,,,,8.0,,8.0,,2.0,,,,,,,,,2.0,,,21.0,,,15.0,3.0,,,4.0,,,1.0,
001000,,,,,,,,3.0,,,,,,,1.0,3.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,2.0,,,,,,,,,1.0,,,4.0,,,17.0,,,,1.0,,,1.0,
001001,,,,,1.0,,,1.0,,,,,,,5.0,,,,,,,2.0,6.0,,,,5.0,1.0,2.0,,,,26.0,,13.0,9.0,,,,,,,,,,,2.0,,,,1.0,,4.0,5.0,,1.0,4.0,,,,,,,,,,,,2.0,,,,3.0,,1.0,,1.0,,,,,,,,,2.0,,,20.0,,3.0,2.0,3.0,,,1.0,,,1.0,
001100,,,,,3.0,,,2.0,,,,,,,3.0,6.0,,,,,,1.0,5.0,,,,1.0,4.0,4.0,4.0,,,35.0,,10.0,5.0,,,,,,,,,,,3.0,,,,1.0,,,2.0,4.0,9.0,5.0,,,,,,,,,,,,11.0,,,,9.0,,12.0,,4.0,,,,,,,,,3.0,,,39.0,,,,6.0,,,7.0,,,5.0,
001101,,,,,19.0,,,5.0,,,,,,,10.0,,,,,,,20.0,21.0,,,,6.0,12.0,7.0,14.0,,,127.0,,85.0,84.0,,,,,,,,,,,16.0,,,,7.0,,30.0,18.0,16.0,,24.0,,,,,,,,,,,,1.0,,,,4.0,,1.0,,6.0,,,,,,,,,10.0,,,136.0,,35.0,13.0,19.0,,,13.0,,,14.0,
010000,,,,,13.0,,,16.0,,,,,,,3.0,12.0,,,,,,21.0,18.0,,,,12.0,13.0,13.0,19.0,,,5.0,,40.0,2.0,,,,,,,,,,,20.0,,,,16.0,,19.0,10.0,15.0,7.0,20.0,,,,,,,,,,,,17.0,,,,11.0,,14.0,,20.0,,,,,,,,,18.0,,,8.0,,21.0,28.0,24.0,,,16.0,,,18.0,
