states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
000000,9,1.0,,,,11.0,,17,,4.0,6,,,13.0,1.0,1,,,,,,,,,14.0,,,,,,,,,,,3,,,,,,1.0,,,,,,,,,,,,,,,,,,,14.0,,1.0,,,,,,,,,,,14.0,,,,,4.0,,,13.0,,,,,,,18,,,,,,,1.0,1.0,1,,
000001,8,1.0,,,5.0,15.0,,2,,15.0,20,,,18.0,,32,,,5.0,,,,,,8.0,,,,,,,,,3.0,,4,4.0,,,,,1.0,,,10.0,,,,,,1.0,,3.0,,,6.0,,6.0,,12.0,22.0,4.0,4.0,,,,,,,,,,,24.0,,10.0,10.0,,3.0,,,43.0,,1.0,,,,,3,5.0,,2.0,,,,2.0,3.0,5,,
000010,2,1.0,,,,19.0,,12,,2.0,9,,,4.0,,115,,,,,,,,,1.0,,,,,,,,,1.0,,28,3.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,18.0,17.0,,1.0,,,,1.0,,,,,,,20.0,,,12.0,,6.0,,,15.0,,,,,,,1,,1.0,3.0,,,,,2.0,76,,
000100,56,1.0,,,2.0,38.0,,1,,,10,,,55.0,,9,,,4.0,,,,,,48.0,,,,,1.0,,1.0,,,,22,4.0,,,,4.0,1.0,1.0,,2.0,,,,,,6.0,,5.0,,,5.0,,2.0,,9.0,32.0,1.0,4.0,,,,,,,,,,,33.0,,5.0,7.0,,,,,2.0,,,,1.0,,,3,5.0,,,,1.0,,1.0,2.0,8,,
000101,2,3.0,2.0,,9.0,24.0,1.0,12,,11.0,2,,1.0,2.0,2.0,13,,3.0,8.0,,,,,,,,,,2.0,2.0,,2.0,,,,54,31.0,,,,5.0,,,3.0,9.0,,,,,,5.0,,7.0,,,7.0,,11.0,,20.0,27.0,,10.0,,,,,,,,,1.0,,23.0,,4.0,6.0,,14.0,,,3.0,,,,3.0,,,57,7.0,2.0,1.0,,3.0,,3.0,,49,,
001000,4,,,,18.0,8.0,,25,,8.0,2,,1.0,3.0,,1,,2.0,,,,,,,9.0,,,,1.0,1.0,,5.0,,2.0,,3,8.0,,,,1.0,3.0,,4.0,19.0,,,,,,1.0,,1.0,,,,,1.0,,2.0,3.0,2.0,,,,,,,,,,2.0,,4.0,,,4.0,,8.0,,,2.0,,,,1.0,,,22,,2.0,,,1.0,,4.0,4.0,1,,
001100,525,20.0,13.0,,7.0,404.0,6.0,583,,103.0,286,,15.0,516.0,17.0,26,,23.0,2.0,,,,,,532.0,,,,12.0,7.0,,11.0,,23.0,,43,65.0,,,,17.0,21.0,13.0,18.0,9.0,,,,,,31.0,,,,,3.0,,,,112.0,416.0,16.0,25.0,,,,11.0,,,,,13.0,,431.0,,3.0,123.0,,70.0,,,654.0,,20.0,,7.0,,,272,1.0,9.0,19.0,,7.0,,24.0,10.0,136,,
010000,1,2.0,2.0,,,,1.0,29,,,9,,2.0,,1.0,1,,1.0,,,,,,,,,,,2.0,,,1.0,,1.0,,4,1.0,,,,4.0,1.0,3.0,2.0,4.0,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,3.0,,,,,,,,,,3.0,,1.0,,,,,,,2.0,,,27,,1.0,1.0,,2.0,,,,11,,
010001,2,6.0,10.0,,5.0,1.0,8.0,24,,5.0,3,,9.0,2.0,10.0,27,,7.0,8.0,,,,,,6.0,,,,6.0,7.0,,9.0,,6.0,,34,1.0,,,,8.0,11.0,12.0,8.0,5.0,,,,,,17.0,,12.0,,,7.0,,8.0,,12.0,3.0,11.0,6.0,,,,12.0,,,,,6.0,,4.0,,6.0,4.0,,16.0,,,2.0,,14.0,,3.0,,,33,9.0,12.0,10.0,,12.0,,9.0,15.0,38,,
010100,79,17.0,10.0,,8.0,124.0,7.0,68,,53.0,146,,14.0,80.0,6.0,123,,13.0,9.0,,,,,,96.0,,,,7.0,13.0,,8.0,,15.0,,26,10.0,,,,27.0,8.0,11.0,12.0,7.0,,,,,,23.0,,4.0,,,3.0,,12.0,,90.0,119.0,8.0,17.0,,,,4.0,,,,,14.0,,94.0,,8.0,68.0,,24.0,,,273.0,,8.0,,15.0,,,10,7.0,9.0,14.0,,17.0,,12.0,14.0,218,,
010101,60,53.0,58.0,1024.0,269.0,234.0,95.0,138,1024.0,133.0,79,1024.0,76.0,59.0,94.0,639,1024.0,80.0,202.0,1024.0,1024.0,1024.0,1024.0,1024.0,64.0,1024.0,1024.0,1024.0,76.0,86.0,1024.0,103.0,1024.0,85.0,1024.0,714,153.0,1024.0,1024.0,1024.0,107.0,106.0,75.0,72.0,268.0,1024.0,1024.0,1024.0,1024.0,1024.0,151.0,1024.0,197.0,1024.0,1024.0,189.0,1024.0,176.0,1024.0,201.0,257.0,134.0,130.0,1024.0,1024.0,1024.0,100.0,1024.0,1024.0,1024.0,1024.0,87.0,1024.0,255.0,1024.0,195.0,188.0,1024.0,126.0,1024.0,1024.0,17.0,1024.0,129.0,1024.0,67.0,1024.0,1024.0,559,184.0,100.0,75.0,1024.0,77.0,1024.0,95.0,111.0,352,1024.0,1024.0
100000,276,919.0,929.0,,701.0,146.0,906.0,113,,690.0,452,,906.0,272.0,893.0,37,,895.0,786.0,,,,,,246.0,,,,918.0,907.0,,884.0,,888.0,,89,744.0,,,,851.0,871.0,909.0,905.0,690.0,,,,,,787.0,,795.0,,,804.0,,808.0,,544.0,114.0,847.0,825.0,,,,893.0,,,,,901.0,,122.0,,793.0,599.0,,752.0,,,,,852.0,,925.0,,,19,806.0,888.0,899.0,,904.0,,873.0,862.0,129,,
