states,counts_p3_1of100,counts_p3_2of100,counts_p3_3of100,counts_p3_4of100,counts_p3_5of100,counts_p3_6of100,counts_p3_7of100,counts_p3_8of100,counts_p3_9of100,counts_p3_10of100,counts_p3_11of100,counts_p3_12of100,counts_p3_13of100,counts_p3_14of100,counts_p3_15of100,counts_p3_16of100,counts_p3_17of100,counts_p3_18of100,counts_p3_19of100,counts_p3_20of100,counts_p3_21of100,counts_p3_22of100,counts_p3_23of100,counts_p3_24of100,counts_p3_25of100,counts_p3_26of100,counts_p3_27of100,counts_p3_28of100,counts_p3_29of100,counts_p3_30of100,counts_p3_31of100,counts_p3_32of100,counts_p3_33of100,counts_p3_34of100,counts_p3_35of100,counts_p3_36of100,counts_p3_37of100,counts_p3_38of100,counts_p3_39of100,counts_p3_40of100,counts_p3_41of100,counts_p3_42of100,counts_p3_43of100,counts_p3_44of100,counts_p3_45of100,counts_p3_46of100,counts_p3_47of100,counts_p3_48of100,counts_p3_49of100,counts_p3_50of100,counts_p3_51of100,counts_p3_52of100,counts_p3_53of100,counts_p3_54of100,counts_p3_55of100,counts_p3_56of100,counts_p3_57of100,counts_p3_58of100,counts_p3_59of100,counts_p3_60of100,counts_p3_61of100,counts_p3_62of100,counts_p3_63of100,counts_p3_64of100,counts_p3_65of100,counts_p3_66of100,counts_p3_67of100,counts_p3_68of100,counts_p3_69of100,counts_p3_70of100,counts_p3_71of100,counts_p3_72of100,counts_p3_73of100,counts_p3_74of100,counts_p3_75of100,counts_p3_76of100,counts_p3_77of100,counts_p3_78of100,counts_p3_79of100,counts_p3_80of100,counts_p3_81of100,counts_p3_82of100,counts_p3_83of100,counts_p3_84of100,counts_p3_85of100,counts_p3_86of100,counts_p3_87of100,counts_p3_88of100,counts_p3_89of100,counts_p3_90of100,counts_p3_91of100,counts_p3_92of100,counts_p3_93of100,counts_p3_94of100,counts_p3_95of100,counts_p3_96of100,counts_p3_97of100,counts_p3_98of100,counts_p3_99of100,counts_p3_100of100
000000,,,,,,2.0,,,1.0,,,,1.0,,,,10.0,,,,4.0,,,,,3,1.0,,,30,,,3.0,2.0,4.0,30,7.0,,,4.0,1.0,,,,,,,,,,2.0,,1.0,,,2,,4.0,4.0,,,,,4.0,1.0,,,1.0,,1,29,4.0,,3.0,2.0,30,,,5.0,,,3.0,,,11.0,3.0,1.0,,,2.0,,,,,2,,1.0,20,,5.0
000001,4.0,,,,,6.0,,,2.0,,,,,,,,,,,7.0,2.0,,,,,23,5.0,1.0,,6,,,,,13.0,10,3.0,,,1.0,4.0,,,,6.0,,,,17.0,,20.0,,8.0,,,14,,2.0,4.0,,,,,3.0,,,11.0,4.0,2.0,13,5,,,3.0,,3,1.0,,,,2.0,22.0,,,15.0,4.0,16.0,,11.0,,,,,,27,,,6,,2.0
000010,1.0,,,,,18.0,,,1.0,,,,,,,,,,,,21.0,,,,,15,,,,6,,,,,11.0,48,4.0,,,4.0,,,,,,,,,,,19.0,,1.0,,,19,,2.0,1.0,,,,,,,,7.0,2.0,,16,7,,,,,5,,,23.0,,,17.0,,,6.0,,13.0,,3.0,3.0,,,,,17,,,7,,20.0
000011,4.0,,1.0,,,58.0,,,11.0,,,,,,,,1.0,,,26.0,60.0,,,,,160,29.0,1.0,,43,,,37.0,,33.0,46,41.0,,,41.0,6.0,,,,3.0,,,,,,40.0,,8.0,,,41,,40.0,,,,,,36.0,,,70.0,5.0,55.0,65,48,,,48.0,,48,,,48.0,,8.0,28.0,,,10.0,4.0,175.0,,3.0,41.0,,,,,166,,,42,,45.0
000100,,,1.0,1.0,,27.0,,3.0,43.0,,,,1.0,,,,7.0,1.0,,107.0,43.0,,2.0,,,123,105.0,1.0,,3,2.0,,95.0,,34.0,58,36.0,,3.0,86.0,35.0,2.0,,,59.0,2.0,,,43.0,,43.0,,,,,33,,75.0,63.0,,,3.0,,84.0,1.0,,129.0,,96.0,99,1,1.0,,95.0,2.0,1,4.0,,40.0,,4.0,34.0,,,5.0,44.0,119.0,,4.0,83.0,,,,,120,,,3,,28.0
001000,2.0,,1.0,1.0,,,,2.0,17.0,,,,4.0,,,,,1.0,,,,,1.0,,,3,,1.0,,14,,,3.0,1.0,,24,,,,5.0,,,1.0,,16.0,,,,14.0,,1.0,,2.0,,,5,,1.0,22.0,,,,,10.0,,,19.0,1.0,5.0,13,15,3.0,,4.0,2.0,11,,,,,2.0,1.0,,,1.0,7.0,5.0,,7.0,3.0,,,,,6,,1.0,15,,
001001,16.0,,3.0,7.0,,531.0,,12.0,,,,,12.0,,,,35.0,7.0,,15.0,512.0,,9.0,,,32,15.0,13.0,,500,7.0,,211.0,7.0,594.0,262,25.0,,8.0,97.0,9.0,10.0,12.0,,,6.0,,,,,566.0,,21.0,,,573,,98.0,15.0,,,17.0,,179.0,9.0,,322.0,14.0,194.0,344,513,16.0,,165.0,10.0,515,8.0,,543.0,,27.0,596.0,,,46.0,,31.0,,49.0,97.0,,,,,50,,6.0,504,,544.0
010000,,,1.0,1.0,,,,3.0,3.0,,,,,,,,1.0,,,2.0,,,,,,2,4.0,1.0,,10,,,1.0,,,9,,,2.0,,12.0,,2.0,,2.0,,,,4.0,,,,1.0,,,1,,,14.0,,,1.0,,3.0,2.0,,8.0,1.0,2.0,13,7,,,3.0,2.0,9,,,,,,,,,,1.0,,,,,,,,,1,,2.0,7,,
010001,4.0,,10.0,15.0,,257.0,,13.0,9.0,,,,7.0,,,,21.0,7.0,,12.0,264.0,,7.0,,,4,8.0,7.0,,47,7.0,,22.0,7.0,257.0,18,33.0,,10.0,10.0,4.0,12.0,10.0,,27.0,10.0,,,22.0,,269.0,,7.0,,,273,,8.0,7.0,,,7.0,,45.0,7.0,,52.0,14.0,40.0,63,48,5.0,,50.0,5.0,52,11.0,,240.0,,24.0,256.0,,,27.0,10.0,11.0,,5.0,6.0,,,,,4,,9.0,62,,260.0
010010,9.0,,13.0,12.0,,5.0,,9.0,4.0,,,,11.0,,,,6.0,8.0,,24.0,5.0,,8.0,,,44,20.0,7.0,,17,3.0,,7.0,13.0,,40,11.0,,9.0,23.0,2.0,3.0,10.0,,9.0,9.0,,,4.0,,1.0,,4.0,,,1,,23.0,4.0,,,2.0,,7.0,12.0,,4.0,7.0,10.0,4,13,10.0,,10.0,5.0,11,10.0,,4.0,,2.0,5.0,,,8.0,10.0,39.0,,7.0,17.0,,,,,39,,6.0,11,,2.0
010011,120.0,1024.0,77.0,79.0,1024.0,58.0,1024.0,65.0,329.0,1024.0,1024.0,1024.0,86.0,1024.0,1024.0,1024.0,134.0,86.0,1024.0,783.0,66.0,1024.0,92.0,1024.0,1024.0,567,788.0,79.0,1024.0,263,76.0,1024.0,483.0,84.0,65.0,360,218.0,1024.0,90.0,580.0,805.0,64.0,91.0,1024.0,320.0,88.0,1024.0,1024.0,332.0,1024.0,52.0,1024.0,132.0,1024.0,1024.0,45,1024.0,592.0,370.0,1024.0,1024.0,91.0,1024.0,493.0,67.0,1024.0,190.0,146.0,472.0,201,264,86.0,1024.0,497.0,93.0,258,86.0,1024.0,70.0,1024.0,97.0,45.0,1024.0,1024.0,200.0,308.0,568.0,1024.0,159.0,607.0,1024.0,1024.0,1024.0,1024.0,532,1024.0,100.0,262,1024.0,67.0
100000,864.0,,917.0,908.0,,62.0,,917.0,604.0,,,,902.0,,,,809.0,914.0,,48.0,47.0,,905.0,,,48,49.0,913.0,,85,929.0,,162.0,910.0,13.0,119,646.0,,902.0,173.0,146.0,933.0,898.0,,582.0,909.0,,,588.0,,11.0,,839.0,,,17,,179.0,520.0,,,903.0,,160.0,925.0,,212.0,829.0,148.0,192,74,899.0,,146.0,903.0,81,904.0,,51.0,,858.0,17.0,,,695.0,633.0,46.0,,776.0,165.0,,,,,60,,899.0,85,,51.0
