states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
011000,599.0,573.0,,,,209.0,216.0,,,,,590.0,,206.0,,,,,,610.0,,,,617.0,,,,,,224.0,578.0,,,,,,,,,,,,,,,,200.0,163.0,,
110001,233.0,235.0,1024.0,1024.0,1024.0,760.0,751.0,1024.0,1024.0,1024.0,1024.0,258.0,1024.0,766.0,1024.0,1024.0,1024.0,1024.0,1024.0,243.0,1024.0,1024.0,1024.0,241.0,1024.0,1024.0,1024.0,1024.0,1024.0,746.0,261.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,777.0,796.0,1024.0,1024.0
010001,103.0,111.0,,,,42.0,40.0,,,,,78.0,,43.0,,,,,,87.0,,,,83.0,,,,,,38.0,95.0,,,,,,,,,,,,,,,,33.0,38.0,,
110000,50.0,56.0,,,,,,,,,,57.0,,,,,,,,52.0,,,,53.0,,,,,,,57.0,,,,,,,,,,,,,,,,,,,
000000,15.0,24.0,,,,,,,,,,18.0,,1.0,,,,,,10.0,,,,9.0,,,,,,,7.0,,,,,,,,,,,,,,,,2.0,1.0,,
100001,13.0,12.0,,,,,,,,,,12.0,,,,,,,,11.0,,,,13.0,,,,,,,14.0,,,,,,,,,,,,,,,,,1.0,,
000010,8.0,2.0,,,,3.0,1.0,,,,,4.0,,,,,,,,4.0,,,,3.0,,,,,,2.0,11.0,,,,,,,,,,,,,,,,2.0,18.0,,
000001,2.0,3.0,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,6.0,,
001000,1.0,5.0,,,,,2.0,,,,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
000101,,2.0,,,,7.0,10.0,,,,,,,5.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,6.0,1.0,,
010000,,1.0,,,,2.0,1.0,,,,,2.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
000100,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,
