states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
101100,1024.0,1024.0,1024.0,1024.0,,,1024.0,1024.0,242.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,10.0,1024.0,,1024.0,245.0,20,1024.0,1024.0,166,146,234.0,1024.0,1024.0,,224.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,207.0,1024.0,173,160,1024.0,1024.0
000010,,,,,1024.0,1024.0,,,2.0,,,,,,,,,,491.0,,1024.0,,1.0,658,,,616,631,3.0,,,1024.0,1.0,,,,,,,,,,,,1.0,,611,640,,
100100,,,,,,,,,354.0,,,,,,,,,,4.0,,,,383.0,44,,,43,43,330.0,,,,365.0,,,,,,,,,,,,369.0,,36,38,,
101000,,,,,,,,,347.0,,,,,,,,,,5.0,,,,327.0,48,,,28,41,378.0,,,,360.0,,,,,,,,,,,,367.0,,32,23,,
100000,,,,,,,,,35.0,,,,,,,,,,31.0,,,,27.0,143,,,71,86,30.0,,,,23.0,,,,,,,,,,,,35.0,,84,67,,
000000,,,,,,,,,12.0,,,,,,,,,,1.0,,,,11.0,17,,,9,5,13.0,,,,12.0,,,,,,,,,,,,13.0,,11,9,,
000100,,,,,,,,,9.0,,,,,,,,,,,,,,7.0,7,,,12,7,9.0,,,,10.0,,,,,,,,,,,,4.0,,7,17,,
001100,,,,,,,,,9.0,,,,,,,,,,118.0,,,,15.0,14,,,35,33,13.0,,,,13.0,,,,,,,,,,,,11.0,,36,25,,
000001,,,,,,,,,7.0,,,,,,,,,,2.0,,,,2.0,29,,,29,27,1.0,,,,4.0,,,,,,,,,,,,3.0,,18,33,,
001000,,,,,,,,,7.0,,,,,,,,,,2.0,,,,6.0,9,,,13,4,13.0,,,,12.0,,,,,,,,,,,,14.0,,15,10,,
010000,,,,,,,,,,,,,,,,,,,360.0,,,,,35,,,2,1,,,,,,,,,,,,,,,,,,,1,2,,
