states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
100100,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,129,1024.0,1024.0,1024.0,,1024.0,1024.0,152,1024.0,1024.0,1024.0,,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,138,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,16.0,,1024.0,1024.0,1024.0,1024.0,1024.0,148.0,128,1024.0,1024.0,,1024.0,1024.0,1024.0
000010,,,,,,,786,,,,1024.0,,,768,,,,1024.0,1024.0,,,,,,,786,,,,,,,,,,320.0,1024.0,,,,,,798.0,813,,,1024.0,,,
000100,,,,,,,87,,,,,,,75,,,,,,,,,,,,66,,,,,,,,,,6.0,,,,,,,57.0,56,,,,,,
100000,,,,,,,12,,,,,,,13,,,,,,,,,,,,14,,,,,,,,,,3.0,,,,,,,11.0,16,,,,,,
000000,,,,,,,5,,,,,,,9,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,4.0,5,,,,,,
010000,,,,,,,3,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,5.0,,,,,,,5.0,2,,,,,,
000001,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,
001000,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,674.0,,,,,,,1.0,1,,,,,,
