states,counts_p3_1of50,counts_p3_2of50,counts_p3_3of50,counts_p3_4of50,counts_p3_5of50,counts_p3_6of50,counts_p3_7of50,counts_p3_8of50,counts_p3_9of50,counts_p3_10of50,counts_p3_11of50,counts_p3_12of50,counts_p3_13of50,counts_p3_14of50,counts_p3_15of50,counts_p3_16of50,counts_p3_17of50,counts_p3_18of50,counts_p3_19of50,counts_p3_20of50,counts_p3_21of50,counts_p3_22of50,counts_p3_23of50,counts_p3_24of50,counts_p3_25of50,counts_p3_26of50,counts_p3_27of50,counts_p3_28of50,counts_p3_29of50,counts_p3_30of50,counts_p3_31of50,counts_p3_32of50,counts_p3_33of50,counts_p3_34of50,counts_p3_35of50,counts_p3_36of50,counts_p3_37of50,counts_p3_38of50,counts_p3_39of50,counts_p3_40of50,counts_p3_41of50,counts_p3_42of50,counts_p3_43of50,counts_p3_44of50,counts_p3_45of50,counts_p3_46of50,counts_p3_47of50,counts_p3_48of50,counts_p3_49of50,counts_p3_50of50
100010,1024.0,,19.0,,,1024.0,1024.0,,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,,,1024.0,1024.0,20.0,1024.0,1024.0,,1024.0,1024.0,15.0,,1024.0,1024.0,1024.0,1024.0,,1024.0,,480.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,,17.0,1024.0,1024.0,1024.0,1024.0,1024.0,
010001,,1024.0,647.0,983.0,1024.0,,,1018.0,,1024.0,,,,,,1024.0,1024.0,,,621.0,,,1024.0,,,670.0,984.0,,,,,1024.0,,1024.0,9.0,,,,,,,,1024.0,618.0,,,,,,1019.0
011100,,,225.0,,,,,,,,,,,,,,,,,254.0,,,,,,222.0,,,,,,,,,409.0,,,,,,,,,240.0,,,,,,
100000,,,71.0,33.0,,,,6.0,,,,,,,,,,,,75.0,,,,,,74.0,34.0,,,,,,,,9.0,,,,,,,,,98.0,,,,,,5.0
000011,,,15.0,,,,,,,,,,,,,,,,,13.0,,,,,,8.0,,,,,,,,,4.0,,,,,,,,,17.0,,,,,,
000001,,,14.0,3.0,,,,,,,,,,,,,,,,12.0,,,,,,6.0,,,,,,,,,,,,,,,,,,12.0,,,,,,
000100,,,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
010100,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,
001000,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,
010000,,,5.0,,,,,,,,,,,,,,,,,6.0,,,,,,4.0,,,,,,,,,27.0,,,,,,,,,5.0,,,,,,
010011,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,6.0,,,,,,,,,69.0,,,,,,,,,2.0,,,,,,
010010,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
011000,,,2.0,3.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,2.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,
001100,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
000000,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,,
000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,
