states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,15,,,,,19.0,,2.0,,,,,,,,,,,,
000001,,24.0,,23.0,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,8.0,,,191,,,,,2.0,,6.0,,,,,,,,,,,,
000010,,,,,3.0,,,,3.0,,,,2.0,,,,,,,,,,,,2.0,,,4.0,,,8,,,,,3.0,,,,,1.0,,,,,,,,,
000011,,1.0,,1.0,1.0,31.0,,,4.0,42.0,,5.0,6.0,,,,,,,,,,,,3.0,,,71.0,,,155,,,,,3.0,,17.0,,,,,,,,,,,,
000100,,,,,4.0,1.0,,,5.0,4.0,,,,,,,,,,,,,,,3.0,,,,,,7,,,,,4.0,,,,,,,,,,,,,,
000110,,2.0,,5.0,3.0,,,,3.0,,,,9.0,,,,1.0,,,,,,,,1.0,,,21.0,,,10,,,,,,,11.0,,,1.0,,,,,,,,,
001000,,,,1.0,6.0,1.0,,,3.0,4.0,,,3.0,,,,1.0,,,,,,,,6.0,,,,,,83,,,,,3.0,,,,,2.0,,,,,,,,,
001010,,2.0,,4.0,,,,,4.0,,,,1.0,,,,2.0,,,,,,,,,,,10.0,,,37,,,,,,,,,,1.0,,,,,,,,,
001100,,15.0,,18.0,,9.0,,,,17.0,,1.0,1.0,,,,,,,,,,,,,,,,,,46,,,,,,,5.0,,,,,,,,,,,,
001110,,6.0,,16.0,8.0,2.0,,,,6.0,,237.0,38.0,,,,6.0,,,,,,,,7.0,,,27.0,,,1,,,,,,,23.0,,,10.0,,,,,,,,,
010000,,15.0,,16.0,6.0,847.0,,,,849.0,,7.0,13.0,,,,,,,,,,,,6.0,,,145.0,,,57,,,,,261.0,,271.0,,,3.0,,,,,,,,,
100000,,2.0,,6.0,,44.0,,,11.0,46.0,,1.0,9.0,,,,,,,,,,,,,,,4.0,,,5,,,,,,,13.0,,,,,,,,,,,,
100001,,300.0,,296.0,3.0,36.0,,,566.0,28.0,,2.0,3.0,,,,,,,,,,,,,,,26.0,,,114,,,,,,,8.0,,,,,,,,,,,,
100010,,4.0,,3.0,,7.0,,,43.0,1.0,,25.0,,,,,2.0,,,,,,,,,,,16.0,,,5,,,,,20.0,,9.0,,,,,,,,,,,,
100011,,27.0,,11.0,841.0,1.0,,,99.0,5.0,,29.0,99.0,,,,104.0,,,,,,,9.0,853.0,,,466.0,,,92,,,,,640.0,,114.0,,,840.0,4.0,,,,,,,,
100100,,19.0,,18.0,,,,,5.0,1.0,,,24.0,,,,,,,,,,,,1.0,,,1.0,,,6,,,,,,,1.0,,,,,,,,,,,,
100110,,68.0,,56.0,2.0,9.0,,,103.0,5.0,,23.0,4.0,,,,1.0,,,,,,,,3.0,,,50.0,,,15,,,,,32.0,,22.0,,,1.0,,,,,,,,,
101000,,32.0,,16.0,,,,,6.0,,,1.0,32.0,,,,,,,,,,,,,,,4.0,,,41,,,,,,,1.0,,,,,,,,,,,,
101010,,75.0,,62.0,4.0,4.0,,,90.0,6.0,,11.0,6.0,,,,,,,,,,,,3.0,,,57.0,,,72,,,,,30.0,,41.0,,,6.0,,,,,,,,,
101100,,258.0,,295.0,,7.0,,,74.0,3.0,,7.0,,,,,1.0,,,,,,,,,,,3.0,,,61,,,,,,,,,,,,,,,,,,,
101110,1024.0,174.0,1024.0,177.0,143.0,24.0,1024.0,1024.0,,7.0,1024.0,675.0,767.0,1024.0,1024.0,1024.0,906.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1015.0,136.0,1024.0,1024.0,111.0,1024.0,1024.0,3,1024.0,1024.0,1024.0,1024.0,7.0,1024.0,480.0,1024.0,1024.0,159.0,1020.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
