states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,,,,,,3.0,,,2.0,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,7.0,,3.0,,,,,,,,,,3.0,,,
000001,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,6.0,,,,
000010,,,,,1.0,,,8.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,2.0,,,,,,,,,1.0,,,,
000100,,,,,,,,,,,1.0,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,2.0,,,1.0,,,,
000101,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,17.0,,,,,,,,,,,13.0,,,,
000110,,,,,4.0,,1.0,1.0,,,2.0,,9.0,,,,,,,,,,18.0,,,,,,,,,,,,6.0,,16.0,,,,,,11.0,,,7.0,1.0,,,
001000,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,14.0,,,,,,5.0,,,6.0,,,,
001001,,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,93.0,,1.0,,,,,,1.0,,,18.0,,,,
001010,,,,,2.0,,2.0,2.0,,1.0,1.0,,10.0,,,,1.0,,,,,,32.0,,,,,,,,,,,,13.0,,41.0,,,,,,8.0,,,1.0,,,,
001100,,,,,5.0,,,10.0,,3.0,89.0,,69.0,,,,8.0,,1.0,,,,63.0,,,,,,,2.0,,,3.0,,15.0,,145.0,,,,,,62.0,,,27.0,,,,
001101,,,,22.0,117.0,,319.0,283.0,1.0,332.0,23.0,,5.0,64.0,,,101.0,,18.0,,76.0,,21.0,14.0,,,,,,12.0,,,14.0,,488.0,,127.0,,,,,,16.0,,,170.0,106.0,,,
001110,,,,,12.0,,5.0,,,5.0,179.0,,229.0,1.0,,,34.0,,,,1.0,,122.0,,,,,,,,,,,,33.0,,90.0,,,,,,183.0,,,65.0,2.0,,,
010000,,,,,448.0,,34.0,15.0,,52.0,158.0,,201.0,4.0,,,224.0,,,,3.0,,127.0,,,,,,,,,,,,165.0,,76.0,,,,,,128.0,,,26.0,5.0,,,
100000,,,,,3.0,,3.0,2.0,,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,2.0,,,,
100010,,,,,2.0,,1.0,2.0,,1.0,2.0,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,
100100,,,,,6.0,,2.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,7.0,,,,
100110,,,,,1.0,,,6.0,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,42.0,,,,,,,,1.0,,,4.0,,,,
101000,,,,,2.0,,3.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,15.0,,,,,,,,,4.0,,,,
101010,,,,,2.0,,1.0,3.0,,1.0,1.0,,,1.0,,,,,,,1.0,,7.0,,,,,,,,,,,,39.0,,32.0,,,,,,5.0,,,26.0,,,,
101100,,,,,84.0,,27.0,58.0,,27.0,43.0,,60.0,,,,242.0,,,,,,23.0,,,,,,,,,,,,70.0,,156.0,,,,,,21.0,,,29.0,,,,
101110,1024.0,1024.0,1024.0,1002.0,330.0,1024.0,626.0,628.0,1023.0,589.0,514.0,1024.0,439.0,953.0,1024.0,1024.0,399.0,1024.0,1005.0,1024.0,940.0,1024.0,607.0,1010.0,1024.0,1024.0,1024.0,1024.0,1024.0,1010.0,1024.0,1024.0,1007.0,1024.0,19.0,1024.0,286.0,1024.0,1024.0,1024.0,1024.0,1024.0,580.0,1024.0,1024.0,610.0,907.0,1024.0,1024.0,1024.0
