states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,1.0,,13.0,,,,,2.0,,17.0,3.0,,,,,,,,,10,,,,,,,,,,20,,,,,2.0,,,9,,,,,,,1,,,,,,,,,,,19,,16.0,17,,,,49,,,,,19,,,,,,,,,,8.0,,5.0,,,,,,,,8.0,11.0,,,,,3,2.0,,,
000001,,2.0,8.0,,11.0,,,,,,,10.0,9.0,,,,,,,,,5,,,,,,,,,,6,,,,,,,,24,,,,,,,7,,,,,,,,,,,11,,1.0,11,,,,5,,,,,17,,,,,,,,,,3.0,,1.0,,,,,,,,,9.0,,,,,19,2.0,,,
000010,,68.0,,,2.0,,,,,10.0,,,102.0,,,,,,,,,1,,,,,,,,,,46,,,,,9.0,,,18,,,,,1.0,,44,,,,,,,,,,,86,,1.0,2,,,,42,,,,,202,,,,,,,,,,2.0,,3.0,,,,,,,,3.0,7.0,,,,,4,125.0,,,
000100,,2.0,,,,,,,,,,1.0,8.0,,,,,,,,,8,,,,,,,,,,38,,,,,2.0,,,3,,,,,,,3,,,,,,,,,,,12,,,9,,,,18,,,,,28,,,,,,,,,,,,,,,,,,,,3.0,,,,,,7,,,,
000101,,28.0,,,1.0,,,,,1.0,,,37.0,,,,,,,,,2,,,,,,,,,,14,,,,,1.0,,,27,,,,,,,28,,,,,,,,,,,136,,1.0,2,,,,10,,,,,1,,,,,,,,,,7.0,,,,,,,,,,5.0,,,,,,97,,,,
001000,,4.0,6.0,,2.0,,,,,4.0,,,6.0,,,,,,,,,1,,,,,,,,,,5,,,,,,,,1,,,,,,,8,,,,,,,,,,,17,,,2,,,,42,,,,,11,,,,,,,,,,2.0,,5.0,,,,,,,,,4.0,,,,,1,21.0,,,
010000,,81.0,,,6.0,,,,,7.0,,2.0,36.0,,,,,,,,,4,,,,,,,,,,55,,,,,26.0,,,192,,,,,7.0,,56,,,,,,,,,,,33,,9.0,17,,,,123,,,,,77,,,,,,,,,,4.0,,6.0,,,,,,,,12.0,4.0,,,,,59,19.0,,,
010001,,112.0,,,73.0,,,,,22.0,,91.0,21.0,,,,,,,,,28,,,,,,,,,,91,,,,,,,,86,,,,,2.0,,55,,,,,,,,,,,165,,58.0,7,,,,18,,,,,4,,,,,,,,,,49.0,,3.0,,,,,,,,29.0,137.0,,,,,271,,,,
011000,,426.0,31.0,,672.0,,,,,665.0,,677.0,722.0,,,,,,,,,661,,,,,,,,,,453,,,,,129.0,,,386,,,,,61.0,,490,,,,,,,,,,,255,,601.0,737,,,,603,,,,,328,,,,,,,,,,585.0,,626.0,,,,,,,,683.0,598.0,,,,,11,498.0,,,
100000,,17.0,1.0,,1.0,,,,,3.0,,1.0,19.0,,,,,,,,,1,,,,,,,,,,11,,,,,,,,11,,,,,,,23,,,,,,,,,,,32,,,3,,,,7,,,,,19,,,,,,,,,,1.0,,6.0,,,,,,,,1.0,,,,,,27,4.0,,,
100001,,1.0,39.0,,5.0,,,,,3.0,,4.0,23.0,,,,,,,,,2,,,,,,,,,,5,,,,,,,,26,,,,,,,7,,,,,,,,,,,20,,2.0,7,,,,9,,,,,30,,,,,,,,,,1.0,,8.0,,,,,,,,5.0,6.0,,,,,1,112.0,,,
110000,,206.0,56.0,,48.0,,,,,3.0,,33.0,,,,,,,,,,66,,,,,,,,,,166,,,,,62.0,,,36,,,,,45.0,,49,,,,,,,,,,,49,,116.0,50,,,,12,,,,,28,,,,,,,,,,126.0,,2.0,,,,,,,,63.0,45.0,,,,,256,41.0,,,
110001,1024.0,77.0,882.0,1024.0,190.0,1024.0,1024.0,1024.0,1024.0,304.0,1024.0,188.0,38.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,235,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,114,1024.0,1024.0,1024.0,1024.0,793.0,1024.0,1024.0,205,1024.0,1024.0,1024.0,1024.0,908.0,1024.0,253,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,189,1024.0,219.0,160,1024.0,1024.0,1024.0,86,1024.0,1024.0,1024.0,1024.0,260,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,236.0,1024.0,359.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,212.0,203.0,1024.0,1024.0,1024.0,1024.0,268,200.0,1024.0,1024.0,1024.0
