states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,4,,13,,,,5,6.0,,,1.0,,,2,2.0,1.0,,,,,4,20.0,,,56.0,,,4,,4.0,,,22,,,,,,,,,,7.0,,,13.0,,,16.0,,9,,,,,,1.0,,,,,,,,5.0,5,,,,,,,7.0,,2,3,,,1.0,,,5.0,,,5,,,,,,,,,5.0,,,,,
000001,,15,,16,,,,25,41.0,,,1.0,,,3,,7.0,,,2.0,,17,19.0,,,2.0,,,21,,,,,34,,,,,,,,,,2.0,,,11.0,,,31.0,,6,20.0,,,,,9.0,,16.0,,,,,,1.0,23,,,,,,2.0,3.0,1.0,17,10,,,1.0,,,19.0,,,25,,,,,,,,,7.0,,,,,
000010,,37,,41,,,,13,22.0,,,31.0,,,22,29.0,,,,10.0,,11,60.0,,,8.0,,,18,,25.0,,,205,,,,,,,,,,29.0,,,183.0,,,66.0,,10,12.0,,,,,,,173.0,,,,,,3.0,16,,,,,,11.0,23.0,9.0,88,23,,,9.0,,,7.0,,,10,,,,,,,,,27.0,,,,,
000100,,11,,39,,,,4,12.0,,,5.0,,,4,6.0,5.0,,,3.0,,3,21.0,,,24.0,,,1,,6.0,,,10,,,,,,,,,,2.0,,,,,,15.0,,3,46.0,,,,,,,23.0,,,,,,1.0,27,,,,,,1.0,2.0,4.0,24,14,,,4.0,,,52.0,,,5,,,,,,,,,7.0,,,,,
001000,,1,,14,,,,4,,,,1.0,,,2,1.0,3.0,,,3.0,,7,14.0,,,,,,5,,,,,8,,,,,,,,,,,,,18.0,,,3.0,,2,,,,,,5.0,,2.0,,,,,,3.0,14,,,,,,,,,16,13,,,1.0,,,10.0,,,2,,,,,,,,,,,,,,
001001,,3,,2,,,,11,12.0,,,2.0,,,6,,18.0,,,3.0,,7,6.0,,,5.0,,,10,,4.0,,,12,,,,,,,,,,2.0,,,22.0,,,,,11,,,,,,,,39.0,,,,,,1.0,2,,,,,,2.0,3.0,,1,31,,,,,,8.0,,,10,,,,,,,,,1.0,,,,,
010000,,1,,4,,,,6,,,,,,,1,1.0,1.0,,,5.0,,6,,,,5.0,,,9,,2.0,,,17,,,,,,,,,,,,,9.0,,,11.0,,6,1.0,,,,,4.0,,12.0,,,,,,,4,,,,,,5.0,2.0,5.0,6,8,,,3.0,,,,,,7,,,,,,,,,1.0,,,,,
010001,,5,,37,,,,27,6.0,,,2.0,,,8,,24.0,,,17.0,,29,32.0,,,1.0,,,21,,1.0,,,8,,,,,,,,,,,,,16.0,,,73.0,,31,2.0,,,,,6.0,,36.0,,,,,,3.0,50,,,,,,14.0,1.0,18.0,37,12,,,15.0,,,6.0,,,27,,,,,,,,,1.0,,,,,
011000,,18,,39,,,,27,29.0,,,3.0,,,8,3.0,25.0,,,29.0,,24,52.0,,,4.0,,,22,,9.0,,,37,,,,,,,,,,3.0,,,57.0,,,163.0,,18,2.0,,,,,1.0,,168.0,,,,,,8.0,71,,,,,,37.0,6.0,31.0,55,53,,,32.0,,,73.0,,,18,,,,,,,,,4.0,,,,,
011001,1024.0,908,1024.0,746,1024.0,1024.0,1024.0,776,548.0,1024.0,1024.0,975.0,1024.0,1024.0,966,982.0,149.0,1024.0,1024.0,912.0,1024.0,789,517.0,1024.0,1024.0,890.0,1024.0,1024.0,813,1024.0,967.0,1024.0,1024.0,554,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,961.0,1024.0,1024.0,476.0,1024.0,1024.0,601.0,1024.0,792,377.0,1024.0,1024.0,1024.0,1024.0,957.0,1024.0,545.0,1024.0,1024.0,1024.0,1024.0,1024.0,972.0,220,1024.0,1024.0,1024.0,1024.0,1024.0,908.0,975.0,915.0,687,184,1024.0,1024.0,921.0,1024.0,1024.0,253.0,1024.0,1024.0,825,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,971.0,1024.0,1024.0,1024.0,1024.0,1024.0
