states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,,,,,13.0,,37,,7,3,17.0,,,,,,,,,,,,11.0,,,9,20.0,,,,,,,,,,,7,,,,,,,,4,,,9.0,,3,,,,,,,40,,,,,,,,,1,,4.0,,,,20,,18,,,9,,,,,5,,26.0,,,,,,,,,,,,16.0,
000001,,,,,,,1.0,,5,,28,4,10.0,,,,,,,,,,,15.0,4.0,,,6,,,,,,,,,,,,5,,,,,,,,36,,,6.0,,1,,,,,,,33,,,,,,,,,37,,11.0,1.0,,,13,,16,,,3,,,,,6,,113.0,,,,,,,,,,,,,
000010,,,,,,,11.0,,71,,14,2,17.0,,,,,,,,,,,2.0,,,,5,,,,,,,,,,,,10,,,,,,,,9,,,21.0,,6,,,,,,,65,,,,,,,,,24,,3.0,19.0,,,4,,76,,,3,,,,,29,,8.0,,,,,,,,,,,,10.0,
000100,,,,,,,9.0,,22,,1,14,4.0,,,,,,,,,,,19.0,16.0,,,16,34.0,,,,,,,,,,,12,,1.0,,,,,,3,,,10.0,,11,,,,,,,13,,,,,,,,,5,,2.0,13.0,,,7,,31,,,29,,,,,15,,,,,,,,,,,,,,18.0,
001000,,,,,,,9.0,,130,,10,14,36.0,,,,,,,,,,,,26.0,,,29,8.0,,,,,,,,,,,33,,,,,,,,21,,,41.0,,63,,,,,,,125,,,,,,,,,76,,14.0,143.0,,,5,,125,,,10,,,,,26,,220.0,,,,,,,,,,,,1.0,
010000,,,,,,,42.0,,7,,5,8,7.0,,,,,,,,,,,5.0,12.0,,,3,32.0,,,,,,,,,,,6,,,,,,,,5,,,24.0,,22,,,,,,,17,,,,,,,,,14,,,9.0,,,3,,15,,,36,,,,,2,,,,,,,,,,,,,,29.0,
010010,,,,,,,19.0,,262,,6,58,4.0,,,,,,,,,,,8.0,77.0,,,4,4.0,,,,,,,,,,,8,,,,,,,,91,,,28.0,,95,,,,,,,141,,,,,,,,,7,,1.0,36.0,,,5,,25,,,17,,,,,30,,28.0,,,,,,,,,,,,16.0,
010100,,,,,,,,,8,,8,6,,,,,,,,,,,,10.0,8.0,,,3,10.0,,,,,,,,,,,14,,1.0,,,,,,2,,,,,10,,,,,,,12,,,,,,,,,4,,3.0,7.0,,,13,,91,,,12,,,,,21,,22.0,,,,,,,,,,,,,
100000,,,,,,,5.0,,26,,19,8,108.0,,,,,,,,,,,114.0,56.0,,,79,,,,,,,,,,,,61,,,,,,,,32,,,30.0,,107,,,,,,,8,,,,,,,,,146,,101.0,68.0,,,28,,130,,,13,,,,,67,,35.0,,,,,,,,,,,,58.0,
100100,,,,,,,2.0,,62,,673,39,158.0,,,,,,,,,,,7.0,43.0,,,183,4.0,,,,,,,,,,,396,,,,,,,,393,,,24.0,,148,,,,,,,34,,,,,,,,,42,,709.0,116.0,,,662,,50,,,63,,,,,495,,156.0,,,,,,,,,,,,,
