states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,6,,,,17,,,,,,,,,,,4,,2,,,,,1.0,46,,14,,,,24,,,,,,,,,,,,,,,,5.0,,,7.0,
000001,46,,,,49,132.0,,,,,,,,,,173,,64,,,,,137.0,72,,12,,,,5,,,,,,,,,,,,,,,,152.0,,,,
000010,69,,,,63,28.0,,,,,,,,1024.0,,21,,5,,,,,22.0,176,,510,,,,489,,,,,,,1024.0,,,,,,,,,27.0,,,756.0,
000100,51,,,,58,9.0,,,,,,,,,,230,,8,,,,,2.0,108,,10,,,,64,,,,,,,,,,,,,,,,213.0,,,69.0,
001000,7,,,,3,1.0,,,,,,,,,,1,,48,,,,,,59,,21,,,,3,,,,,,,,,,,,,,,,,,,6.0,
010000,76,,,,86,51.0,,,,,,,,,,92,,66,,,,,54.0,14,,71,,,,7,,,,,,,,,,,,,,,,81.0,,,,
100000,11,,,,15,23.0,,,,,,,,,,35,,18,,,,,21.0,5,,21,,,,42,,,,,,,,,,,,,,,,44.0,,,23.0,
100100,758,1024.0,1024.0,1024.0,733,780.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,,1024.0,468,1024.0,813,1024.0,1024.0,1024.0,1024.0,787.0,544,1024.0,365,1024.0,1024.0,1024.0,390,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,502.0,1024.0,1024.0,163.0,1024.0
