states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,,,,,53.0,,,,3.0,,,,,,,,,,,,6,7,,,,,,,,8.0,10,,,,,5.0,,,,,,,,,15,,,
000001,,,,,,,,,,24.0,7.0,,,,,,,,,,,,22,17,,,,,,,,23.0,34,29.0,,,,3.0,,,,,,,42.0,2.0,8,,,
000010,,,,,,,9.0,,,14.0,19.0,,,,,,,,,,,,10,9,,,,,,,,129.0,33,10.0,,,,28.0,,,,,,,9.0,34.0,14,,,
000100,,,,,,,14.0,,,52.0,3.0,,,,,,,,,,,,6,1,,,,,,,,1.0,8,17.0,,,,10.0,,,,,,,15.0,4.0,12,,,
001000,,,,,,,3.0,,,,,,,,,,,,,,,,4,2,,,,,,,,1.0,2,8.0,,,,3.0,,,,,,,19.0,,12,,,
001001,,,,,,,7.0,,,,4.0,,,,,,,,,,,,6,3,,,,,,,,6.0,10,3.0,,,,2.0,,,,,,,,,6,,,
010000,,,,,,,4.0,,,,1.0,,,,,,,,,,,,8,8,,,,,,,,,2,9.0,,,,,,,,,,,2.0,1.0,17,,,
010001,,,,,,,,,,,3.0,,,,,,,,,,,,23,29,,,,,,,,8.0,14,54.0,,,,1.0,,,,,,,46.0,1.0,21,,,
011000,,,,,,,3.0,,,20.0,14.0,,,,,,,,,,,,33,27,,,,,,,,17.0,12,37.0,,,,1.0,,,,,,,87.0,10.0,84,,,
011001,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,902.0,1024.0,1024.0,353.0,970.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,776,815,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,579.0,556,849.0,1024.0,1024.0,1024.0,968.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,804.0,972.0,324,1024.0,1024.0,1024.0
100000,,,,,,,29.0,,,561.0,,,,,,,,,,,,,130,106,,,,,,,,252.0,343,8.0,,,,3.0,,,,,,,,,511,,,
