states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,,,14,,,,7.0,,25.0,,,10,14.0,,,,,10,,,,11.0,,,6,29.0,,,,,,,,,,,,18,,4.0,,,,9,,,,22,7.0
000001,,,,15,,,,4.0,,14.0,,,6,12.0,,,,,2,,,,11.0,,,4,8.0,,,,,,,,,,,,41,,1.0,,,,14,,,,1,
000010,,,,7,,,,18.0,,1.0,,,4,1.0,,1.0,,,23,,,,7.0,,,6,51.0,,,,,,,,,,,,6,,,,,,1,,,,152,12.0
000100,,,,3,,,,2.0,,2.0,,,1,7.0,,,,,38,,,,,,,11,1.0,,,,,,,,,,,,5,,,,,,9,,,,23,6.0
000101,,,,2,,,,26.0,,,,,2,1.0,,,,,106,,,,3.0,,,17,7.0,,,,,,,,,,,,15,,1.0,,,,16,,,,79,1.0
001000,,,,1,,,,6.0,,2.0,,,3,3.0,,,,,11,,,,3.0,,,7,13.0,,,,,,,,,,,,7,,2.0,,,,4,,,,15,11.0
010000,,,,7,,,,41.0,,4.0,,,6,2.0,,,,,11,,,,17.0,,,5,19.0,,,,,,,,,,,,18,,11.0,,,,9,,,,18,11.0
010001,,,,48,,,,385.0,,85.0,,,20,25.0,,20.0,,,156,,,,35.0,,,2,191.0,,,,,,,,,,,,11,,28.0,,,,44,,,,158,63.0
011000,,,,692,,,,423.0,,670.0,,,650,662.0,,829.0,,,310,,,,708.0,,,294,234.0,,,,,,,,,,,,217,,711.0,,,,634,,,,303,432.0
100000,,,,4,,,,,,,,,1,,,2.0,,,24,,,,,,,1,8.0,,,,,,,,,,,,5,,,,,,3,,,,6,
100001,,,,5,,,,27.0,,1.0,,,22,2.0,,2.0,,,36,,,,3.0,,,7,,,,,,,,,,,,,11,,,,,,9,,,,35,6.0
110000,,,,51,,,,3.0,,44.0,,,4,72.0,,1.0,,,122,,,,73.0,,,225,318.0,,,,,,,,,,,,42,,22.0,,,,19,,,,208,31.0
110001,1024.0,1024.0,1024.0,175,1024.0,1024.0,1024.0,82.0,1024.0,176.0,1024.0,1024.0,295,223.0,1024.0,169.0,1024.0,1024.0,175,1024.0,1024.0,1024.0,153.0,1024.0,1024.0,439,145.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,628,1024.0,244.0,1024.0,1024.0,1024.0,253,1024.0,1024.0,1024.0,4,444.0
