states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
101010,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,10.0,1024.0,10.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,7.0,1024.0,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,315,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,349.0,1024.0,1024.0,1024.0,1024.0,373.0,1024.0,6
010010,,,,,,,,,713.0,,,,,274.0,,263.0,,,,,,,464.0,,,,,683.0,,,,53,,,,,,,,,,,243.0,,,,,222.0,,697
001000,,,,,,,,,92.0,,,,,1.0,,,,,,,,,58.0,,,,,113.0,,,,14,,,,,,,,,,,37.0,,,,,32.0,,27
000010,,,,,,,,,85.0,,,,,,,1.0,,,,,,,273.0,,,,,75.0,,,,9,,,,,,,,,,,2.0,,,,,3.0,,107
000100,,,,,,,,,62.0,,,,,2.0,,2.0,,,,,,,19.0,,,,,52.0,,,,37,,,,,,,,,,,,,,,,,,61
100100,,,,,,,,,33.0,,,,,12.0,,17.0,,,,,,,7.0,,,,,33.0,,,,79,,,,,,,,,,,,,,,,,,75
010000,,,,,,,,,13.0,,,,,1.0,,1.0,,,,,,,8.0,,,,,17.0,,,,23,,,,,,,,,,,1.0,,,,,1.0,,7
001010,,,,,,,,,11.0,,,,,581.0,,605.0,,,,,,,126.0,,,,,7.0,,,,28,,,,,,,,,,,254.0,,,,,227.0,,6
010100,,,,,,,,,6.0,,,,,1.0,,4.0,,,,,,,37.0,,,,,28.0,,,,36,,,,,,,,,,,,,,,,2.0,,3
100010,,,,,,,,,5.0,,,,,105.0,,81.0,,,,,,,,,,,,7.0,,,,316,,,,,,,,,,,136.0,,,,,160.0,,8
100000,,,,,,,,,3.0,,,,,14.0,,13.0,,,,,,,,,,,,4.0,,,,67,,,,,,,,,,,1.0,,,,,2.0,,6
000000,,,,,,,,,1.0,,,,,3.0,,3.0,,,,,,,4.0,,,,,3.0,,,,25,,,,,,,,,,,1.0,,,,,2.0,,5
101000,,,,,,,,,,,,,,20.0,,24.0,,,,,,,21.0,,,,,2.0,,,,22,,,,,,,,,,,,,,,,,,16
